,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.6999999999999993,miriama_livia.png,miriama_miriama.png,aligned_same,True
1,13-test-trial-2,different,1.6100000000000003,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
2,14-test-trial-3,same,4.1,maxim_maxim.png,maxim_josef.png,aligned_same,True
3,15-test-trial-4,same,4.5,josef_maxim.png,josef_josef.png,misaligned_same,True
4,16-test-trial-5,same,2.5,lea_lea.png,lea_stela.png,aligned_same,True
5,17-test-trial-6,same,1.6,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
6,18-test-trial-7,same,10.0,saskie_milota.png,milota_saskie.png,misaligned_different,False
7,19-test-trial-8,same,11.8,elias_prokop.png,elias_elias.png,misaligned_same,True
8,20-test-trial-9,same,2.3900000000000006,vladena_margita.png,margita_vladena.png,aligned_different,False
9,21-test-trial-10,same,4.2,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
10,22-test-trial-11,same,0.8999999999999995,livia_livia.png,livia_miriama.png,misaligned_same,True
11,23-test-trial-12,same,4.7,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
12,24-test-trial-13,same,4.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
13,25-test-trial-14,same,2.9000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
14,26-test-trial-15,same,3.51,debra_debra.png,debra_edita.png,misaligned_same,True
15,27-test-trial-16,same,1.29,carol_brenda.png,carol_carol.png,misaligned_same,True
16,28-test-trial-17,same,4.29,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
17,29-test-trial-18,different,2.9000000000000004,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,False
18,30-test-trial-19,same,8.6,prokop_prokop.png,prokop_elias.png,aligned_same,True
19,31-test-trial-20,same,5.6,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
20,32-test-trial-21,same,3.0999999999999996,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
21,33-test-trial-22,same,2.5,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
22,34-test-trial-23,same,5.300000000000001,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
23,35-test-trial-24,same,4.7,justin_vasil.png,vasil_justin.png,aligned_different,False
24,36-test-trial-25,different,2.7,aurel_cenek.png,cenek_aurel.png,aligned_different,True
25,37-test-trial-26,different,3.8,edita_debra.png,edita_edita.png,aligned_same,False
26,38-test-trial-27,same,3.0,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
27,39-test-trial-28,different,7.300000000000001,linda_jindriska.png,jindriska_linda.png,aligned_different,True
28,40-test-trial-29,different,1.2000000000000002,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
29,41-test-trial-30,same,1.5,stela_lea.png,stela_stela.png,misaligned_same,True
30,42-test-trial-31,different,4.799999999999999,viola_peggy.png,peggy_viola.png,misaligned_different,True
31,43-test-trial-32,same,7.609999999999999,elena_eleanora.png,elena_elena.png,misaligned_same,True
32,44-test-trial-33,different,9.3,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
33,45-test-trial-34,same,2.2,viktoria_perla.png,perla_viktoria.png,aligned_different,False
34,46-test-trial-35,same,4.0,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
35,47-test-trial-36,same,2.2,brenda_brenda.png,brenda_carol.png,aligned_same,True
