,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,8.780000000000001,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
1,13-test-trial-2,same,5.110000000000001,saskie_milota.png,milota_saskie.png,aligned_different,False
2,14-test-trial-3,same,2.3800000000000003,miriama_livia.png,livia_miriama.png,misaligned_different,False
3,15-test-trial-4,different,3.4800000000000004,jindriska_jindriska.png,jindriska_linda.png,aligned_same,False
4,16-test-trial-5,different,2.18,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
5,17-test-trial-6,different,2.15,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
6,18-test-trial-7,same,4.2700000000000005,elias_prokop.png,elias_elias.png,misaligned_same,True
7,19-test-trial-8,same,0.6499999999999999,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
8,20-test-trial-9,different,4.66,viola_peggy.png,peggy_viola.png,aligned_different,True
9,21-test-trial-10,different,1.96,vladena_margita.png,margita_vladena.png,misaligned_different,True
10,22-test-trial-11,same,3.13,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
11,23-test-trial-12,same,2.7100000000000004,lea_lea.png,lea_stela.png,misaligned_same,True
12,24-test-trial-13,different,8.3,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
13,25-test-trial-14,different,0.10999999999999988,bernard_rehor.png,rehor_bernard.png,aligned_different,True
14,26-test-trial-15,different,2.2799999999999994,perla_perla.png,perla_viktoria.png,aligned_same,False
15,27-test-trial-16,same,8.01,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
16,28-test-trial-17,different,3.2399999999999998,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
17,29-test-trial-18,different,12.14,hynek_hynek.png,hynek_dominik.png,aligned_same,False
18,30-test-trial-19,different,4.33,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
19,31-test-trial-20,different,4.17,edita_debra.png,debra_edita.png,aligned_different,True
20,32-test-trial-21,different,0.9699999999999998,stela_lea.png,stela_stela.png,aligned_same,False
21,33-test-trial-22,different,5.66,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
22,34-test-trial-23,same,5.290000000000001,linda_jindriska.png,linda_linda.png,misaligned_same,True
23,35-test-trial-24,different,3.53,vasil_vasil.png,vasil_justin.png,aligned_same,False
24,36-test-trial-25,different,2.8000000000000003,josef_maxim.png,maxim_josef.png,misaligned_different,True
25,37-test-trial-26,different,2.03,carol_brenda.png,brenda_carol.png,misaligned_different,True
26,38-test-trial-27,same,3.54,justin_vasil.png,justin_justin.png,misaligned_same,True
27,39-test-trial-28,different,11.77,elena_eleanora.png,elena_elena.png,aligned_same,False
28,40-test-trial-29,different,0.6499999999999999,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
29,41-test-trial-30,same,1.37,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
30,42-test-trial-31,different,1.290000000000001,prokop_prokop.png,prokop_elias.png,aligned_same,False
31,43-test-trial-32,same,4.32,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
32,44-test-trial-33,same,21.32,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
33,45-test-trial-34,same,0.8700000000000001,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
34,46-test-trial-35,same,1.8599999999999999,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
35,47-test-trial-36,same,9.26,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
