,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.0,margita_margita.png,margita_vladena.png,aligned_same,True
1,13-test-trial-2,different,2.6999999999999997,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
2,14-test-trial-3,different,8.799999999999999,elena_eleanora.png,elena_elena.png,misaligned_same,False
3,15-test-trial-4,different,4.1,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
4,16-test-trial-5,same,13.1,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
5,17-test-trial-6,different,5.6,justin_vasil.png,justin_justin.png,aligned_same,False
6,18-test-trial-7,different,2.8000000000000003,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
7,19-test-trial-8,different,1.9999999999999996,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
8,20-test-trial-9,different,2.9,cenek_cenek.png,cenek_aurel.png,aligned_same,False
9,21-test-trial-10,different,5.0,viola_peggy.png,peggy_viola.png,aligned_different,True
10,22-test-trial-11,same,4.300000000000001,elias_prokop.png,elias_elias.png,misaligned_same,True
11,23-test-trial-12,same,3.0000000000000004,lea_lea.png,lea_stela.png,misaligned_same,True
12,24-test-trial-13,different,8.5,aurel_cenek.png,aurel_aurel.png,misaligned_same,False
13,25-test-trial-14,different,23.6,vasil_vasil.png,vasil_justin.png,misaligned_same,False
14,26-test-trial-15,same,12.7,linda_jindriska.png,linda_linda.png,aligned_same,True
15,27-test-trial-16,same,5.199999999999999,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
16,28-test-trial-17,different,32.6,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
17,29-test-trial-18,same,7.6,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
18,30-test-trial-19,same,15.999999999999998,edita_debra.png,edita_edita.png,aligned_same,True
19,31-test-trial-20,different,1.9,bernard_rehor.png,rehor_bernard.png,aligned_different,True
20,32-test-trial-21,same,12.2,debra_debra.png,debra_edita.png,misaligned_same,True
21,33-test-trial-22,different,5.199999999999999,dominik_hynek.png,hynek_dominik.png,aligned_different,True
22,34-test-trial-23,different,2.9000000000000004,viktoria_perla.png,perla_viktoria.png,aligned_different,True
23,35-test-trial-24,same,8.299999999999999,vladena_margita.png,vladena_vladena.png,misaligned_same,True
24,36-test-trial-25,different,10.9,miriama_livia.png,livia_miriama.png,misaligned_different,True
25,37-test-trial-26,different,10.2,saskie_milota.png,milota_saskie.png,misaligned_different,True
26,38-test-trial-27,same,3.6,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
27,39-test-trial-28,different,3.1,prokop_prokop.png,prokop_elias.png,aligned_same,False
28,40-test-trial-29,same,35.6,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
29,41-test-trial-30,different,2.9,carol_brenda.png,brenda_carol.png,misaligned_different,True
30,42-test-trial-31,same,3.9,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
31,43-test-trial-32,different,3.6,josef_maxim.png,maxim_josef.png,misaligned_different,True
32,44-test-trial-33,same,3.6999999999999997,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
33,45-test-trial-34,different,5.800000000000001,stela_lea.png,stela_stela.png,aligned_same,False
34,46-test-trial-35,same,6.0,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
35,47-test-trial-36,different,4.699999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
