,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.4000000000000004,viola_peggy.png,viola_viola.png,aligned_same,False
1,13-test-trial-2,different,1.2999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
2,14-test-trial-3,different,1.2999999999999998,stela_lea.png,stela_stela.png,aligned_same,False
3,15-test-trial-4,different,1.2999999999999998,livia_livia.png,livia_miriama.png,misaligned_same,False
4,16-test-trial-5,different,1.5999999999999996,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
5,17-test-trial-6,different,1.0999999999999996,peggy_peggy.png,peggy_viola.png,misaligned_same,False
6,18-test-trial-7,different,1.0,saskie_milota.png,saskie_saskie.png,misaligned_same,False
7,19-test-trial-8,different,0.7999999999999998,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
8,20-test-trial-9,same,2.5999999999999996,elias_prokop.png,elias_elias.png,aligned_same,True
9,21-test-trial-10,different,1.5999999999999996,vladena_margita.png,vladena_vladena.png,misaligned_same,False
10,22-test-trial-11,same,2.299999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
11,23-test-trial-12,different,1.4,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
12,24-test-trial-13,different,0.8999999999999999,prokop_prokop.png,prokop_elias.png,misaligned_same,False
13,25-test-trial-14,different,8.9,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
14,26-test-trial-15,different,1.3000000000000003,edita_debra.png,debra_edita.png,aligned_different,True
15,27-test-trial-16,different,1.4,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,False
16,28-test-trial-17,different,1.7000000000000002,miriama_livia.png,miriama_miriama.png,aligned_same,False
17,29-test-trial-18,different,2.0999999999999996,rehor_rehor.png,rehor_bernard.png,misaligned_same,False
18,30-test-trial-19,different,1.2000000000000002,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
19,31-test-trial-20,different,1.5999999999999996,justin_vasil.png,vasil_justin.png,aligned_different,True
20,32-test-trial-21,different,7.699999999999999,bernard_rehor.png,bernard_bernard.png,aligned_same,False
21,33-test-trial-22,different,1.1,maxim_maxim.png,maxim_josef.png,aligned_same,False
22,34-test-trial-23,different,2.3,margita_margita.png,margita_vladena.png,aligned_same,False
23,35-test-trial-24,different,1.4000000000000004,cenek_cenek.png,cenek_aurel.png,aligned_same,False
24,36-test-trial-25,different,0.7999999999999998,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
25,37-test-trial-26,different,1.2999999999999998,linda_jindriska.png,jindriska_linda.png,aligned_different,True
26,38-test-trial-27,different,1.4,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,False
27,39-test-trial-28,different,1.5999999999999996,lea_lea.png,lea_stela.png,misaligned_same,False
28,40-test-trial-29,different,2.7,aurel_cenek.png,aurel_aurel.png,misaligned_same,False
29,41-test-trial-30,different,2.5999999999999996,josef_maxim.png,josef_josef.png,misaligned_same,False
30,42-test-trial-31,different,1.2999999999999998,milota_milota.png,milota_saskie.png,aligned_same,False
31,43-test-trial-32,different,1.7000000000000002,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
32,44-test-trial-33,different,1.7000000000000002,carol_brenda.png,brenda_carol.png,misaligned_different,True
33,45-test-trial-34,different,1.2000000000000002,dominik_hynek.png,hynek_dominik.png,aligned_different,True
34,46-test-trial-35,different,1.1,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
35,47-test-trial-36,different,1.1,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
