,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,14.2,aurel_cenek.png,cenek_aurel.png,aligned_different,True
1,13-test-trial-2,same,5.999999999999999,debra_debra.png,debra_edita.png,misaligned_same,True
2,14-test-trial-3,same,1.1999999999999997,justin_vasil.png,vasil_justin.png,misaligned_different,False
3,15-test-trial-4,different,2.5,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
4,16-test-trial-5,same,0.3999999999999999,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
5,17-test-trial-6,different,0.8999999999999999,carol_brenda.png,carol_carol.png,aligned_same,False
6,18-test-trial-7,same,1.1,josef_maxim.png,josef_josef.png,misaligned_same,True
7,19-test-trial-8,different,0.5,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
8,20-test-trial-9,same,0.10000000000000009,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
9,21-test-trial-10,same,0.0,milota_milota.png,milota_saskie.png,misaligned_same,True
10,22-test-trial-11,different,1.0,edita_debra.png,edita_edita.png,aligned_same,False
11,23-test-trial-12,different,1.0,dominik_hynek.png,dominik_dominik.png,aligned_same,False
12,24-test-trial-13,different,1.1,maxim_maxim.png,maxim_josef.png,aligned_same,False
13,25-test-trial-14,different,0.10000000000000009,stela_lea.png,lea_stela.png,aligned_different,True
14,26-test-trial-15,different,0.20000000000000018,saskie_milota.png,saskie_saskie.png,aligned_same,False
15,27-test-trial-16,same,1.0,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
16,28-test-trial-17,different,2.6,livia_livia.png,livia_miriama.png,aligned_same,False
17,29-test-trial-18,same,0.8999999999999999,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
18,30-test-trial-19,same,0.7000000000000002,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
19,31-test-trial-20,same,1.7000000000000002,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
20,32-test-trial-21,different,1.0,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,False
21,33-test-trial-22,different,1.2000000000000002,elias_prokop.png,prokop_elias.png,aligned_different,True
22,34-test-trial-23,different,0.8999999999999999,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
23,35-test-trial-24,different,3.3,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
24,36-test-trial-25,same,2.4000000000000004,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
25,37-test-trial-26,different,0.9000000000000004,viola_peggy.png,peggy_viola.png,aligned_different,True
26,38-test-trial-27,different,2.6000000000000005,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
27,39-test-trial-28,same,2.1000000000000005,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
28,40-test-trial-29,same,2.4000000000000004,miriama_livia.png,miriama_miriama.png,misaligned_same,True
29,41-test-trial-30,same,1.0,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
30,42-test-trial-31,same,0.40000000000000036,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
31,43-test-trial-32,same,1.0,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
32,44-test-trial-33,different,2.4000000000000004,bernard_rehor.png,rehor_bernard.png,aligned_different,True
33,45-test-trial-34,different,1.0,vladena_margita.png,margita_vladena.png,aligned_different,True
34,46-test-trial-35,same,1.9,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
35,47-test-trial-36,same,2.9000000000000004,brenda_brenda.png,brenda_carol.png,misaligned_same,True
