,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.4000000000000004,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
1,13-test-trial-2,same,1.4,debra_debra.png,debra_edita.png,aligned_same,True
2,14-test-trial-3,different,7.700000000000001,prokop_prokop.png,prokop_elias.png,aligned_same,False
3,15-test-trial-4,same,1.4,josef_maxim.png,maxim_josef.png,aligned_different,False
4,16-test-trial-5,different,1.1999999999999997,milota_milota.png,milota_saskie.png,aligned_same,False
5,17-test-trial-6,same,1.4999999999999996,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
6,18-test-trial-7,different,1.8000000000000003,vladena_margita.png,margita_vladena.png,misaligned_different,True
7,19-test-trial-8,same,1.4999999999999996,justin_vasil.png,vasil_justin.png,misaligned_different,False
8,20-test-trial-9,different,1.1,perla_perla.png,perla_viktoria.png,misaligned_same,False
9,21-test-trial-10,same,0.7999999999999998,lea_lea.png,lea_stela.png,misaligned_same,True
10,22-test-trial-11,different,0.9000000000000004,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
11,23-test-trial-12,same,1.0999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
12,24-test-trial-13,different,0.09999999999999964,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,False
13,25-test-trial-14,same,0.8999999999999999,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
14,26-test-trial-15,different,0.3999999999999999,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
15,27-test-trial-16,same,0.3999999999999999,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
16,28-test-trial-17,different,2.4,dominik_hynek.png,dominik_dominik.png,aligned_same,False
17,29-test-trial-18,same,1.4999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
18,30-test-trial-19,different,0.6000000000000001,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
19,31-test-trial-20,same,0.6000000000000001,elias_prokop.png,elias_elias.png,misaligned_same,True
20,32-test-trial-21,different,0.8000000000000007,edita_debra.png,edita_edita.png,misaligned_same,False
21,33-test-trial-22,same,1.8000000000000003,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
22,34-test-trial-23,different,1.0999999999999996,viola_peggy.png,peggy_viola.png,aligned_different,True
23,35-test-trial-24,same,2.0,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
24,36-test-trial-25,different,1.0,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,False
25,37-test-trial-26,same,1.4999999999999996,bernard_rehor.png,rehor_bernard.png,aligned_different,False
26,38-test-trial-27,different,0.2999999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_same,False
27,39-test-trial-28,same,1.2999999999999998,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
28,40-test-trial-29,different,0.5999999999999996,saskie_milota.png,saskie_saskie.png,misaligned_same,False
29,41-test-trial-30,same,0.8999999999999999,carol_brenda.png,brenda_carol.png,misaligned_different,False
30,42-test-trial-31,different,1.3000000000000007,elena_eleanora.png,eleanora_elena.png,aligned_different,True
31,43-test-trial-32,same,2.1999999999999997,stela_lea.png,stela_stela.png,aligned_same,True
32,44-test-trial-33,different,0.5,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
33,45-test-trial-34,same,1.6,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
34,46-test-trial-35,different,1.1,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
35,47-test-trial-36,same,1.4999999999999996,miriama_livia.png,livia_miriama.png,aligned_different,False
