,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.5,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
1,13-test-trial-2,same,0.9000000000000004,milota_milota.png,milota_saskie.png,misaligned_same,True
2,14-test-trial-3,different,5.710000000000001,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
3,15-test-trial-4,same,5.0,stela_lea.png,stela_stela.png,aligned_same,True
4,16-test-trial-5,different,2.1999999999999997,miriama_livia.png,livia_miriama.png,aligned_different,True
5,17-test-trial-6,different,2.6000000000000005,josef_maxim.png,maxim_josef.png,aligned_different,True
6,18-test-trial-7,same,1.62,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
7,19-test-trial-8,same,0.7999999999999998,lea_lea.png,lea_stela.png,misaligned_same,True
8,20-test-trial-9,different,1.7000000000000002,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
9,21-test-trial-10,same,1.7200000000000002,viola_peggy.png,viola_viola.png,misaligned_same,True
10,22-test-trial-11,different,1.1,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
11,23-test-trial-12,different,3.71,vasil_vasil.png,vasil_justin.png,misaligned_same,False
12,24-test-trial-13,same,2.2,prokop_prokop.png,prokop_elias.png,misaligned_same,True
13,25-test-trial-14,same,2.0,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
14,26-test-trial-15,different,2.1100000000000003,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
15,27-test-trial-16,same,2.9000000000000004,linda_jindriska.png,linda_linda.png,aligned_same,True
16,28-test-trial-17,different,1.62,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
17,29-test-trial-18,different,3.1,elena_eleanora.png,eleanora_elena.png,aligned_different,True
18,30-test-trial-19,different,2.0,rehor_rehor.png,rehor_bernard.png,aligned_same,False
19,31-test-trial-20,different,2.61,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
20,32-test-trial-21,same,6.21,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
21,33-test-trial-22,different,4.2,elias_prokop.png,elias_elias.png,aligned_same,False
22,34-test-trial-23,same,2.0,carol_brenda.png,carol_carol.png,misaligned_same,True
23,35-test-trial-24,same,5.3,vladena_margita.png,margita_vladena.png,misaligned_different,False
24,36-test-trial-25,same,2.6999999999999997,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
25,37-test-trial-26,same,2.1000000000000005,brenda_brenda.png,brenda_carol.png,aligned_same,True
26,38-test-trial-27,different,2.2899999999999996,edita_debra.png,debra_edita.png,misaligned_different,True
27,39-test-trial-28,different,6.3999999999999995,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
28,40-test-trial-29,different,2.6000000000000005,viktoria_perla.png,perla_viktoria.png,aligned_different,True
29,41-test-trial-30,different,5.4,saskie_milota.png,saskie_saskie.png,aligned_same,False
30,42-test-trial-31,same,2.7,peggy_peggy.png,peggy_viola.png,aligned_same,True
31,43-test-trial-32,same,2.69,justin_vasil.png,justin_justin.png,aligned_same,True
32,44-test-trial-33,same,6.510000000000001,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
33,45-test-trial-34,same,4.1000000000000005,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
34,46-test-trial-35,same,14.7,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
35,47-test-trial-36,different,5.8,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
