,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.54,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
1,13-test-trial-2,same,1.7400000000000002,brenda_brenda.png,brenda_carol.png,misaligned_same,True
2,14-test-trial-3,same,3.2100000000000004,viktoria_perla.png,perla_viktoria.png,aligned_different,False
3,15-test-trial-4,same,1.85,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
4,16-test-trial-5,same,1.63,linda_jindriska.png,jindriska_linda.png,aligned_different,False
5,17-test-trial-6,same,5.449999999999999,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
6,18-test-trial-7,same,1.13,bernard_rehor.png,bernard_bernard.png,aligned_same,True
7,19-test-trial-8,same,1.2599999999999998,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
8,20-test-trial-9,same,1.4500000000000006,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
9,21-test-trial-10,same,1.75,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
10,22-test-trial-11,same,1.4400000000000004,debra_debra.png,debra_edita.png,misaligned_same,True
11,23-test-trial-12,same,4.3,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,False
12,24-test-trial-13,same,1.9499999999999997,elias_prokop.png,prokop_elias.png,misaligned_different,False
13,25-test-trial-14,same,0.7199999999999998,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
14,26-test-trial-15,same,1.8499999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
15,27-test-trial-16,same,2.05,miriama_livia.png,livia_miriama.png,aligned_different,False
16,28-test-trial-17,same,0.8199999999999998,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
17,29-test-trial-18,same,1.0300000000000002,carol_brenda.png,carol_carol.png,aligned_same,True
18,30-test-trial-19,same,1.23,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
19,31-test-trial-20,same,1.54,stela_lea.png,lea_stela.png,misaligned_different,False
20,32-test-trial-21,same,3.8999999999999995,josef_maxim.png,maxim_josef.png,aligned_different,False
21,33-test-trial-22,same,2.04,justin_vasil.png,vasil_justin.png,aligned_different,False
22,34-test-trial-23,,,rehor_rehor.png,rehor_bernard.png,misaligned_same,
23,34-test-trial-23-repeat-1,same,1.81,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
24,35-test-trial-24,same,2.0500000000000003,dominik_hynek.png,dominik_dominik.png,aligned_same,True
25,36-test-trial-25,same,1.6300000000000003,edita_debra.png,edita_edita.png,aligned_same,True
26,37-test-trial-26,same,1.9400000000000004,peggy_peggy.png,peggy_viola.png,aligned_same,True
27,38-test-trial-27,same,3.18,viola_peggy.png,viola_viola.png,misaligned_same,True
28,39-test-trial-28,same,2.26,vladena_margita.png,margita_vladena.png,misaligned_different,False
29,40-test-trial-29,same,1.54,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
30,41-test-trial-30,same,0.9300000000000002,elena_eleanora.png,elena_elena.png,aligned_same,True
31,42-test-trial-31,different,3.7,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
32,43-test-trial-32,same,3.5900000000000003,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
33,44-test-trial-33,same,2.15,saskie_milota.png,milota_saskie.png,misaligned_different,False
34,45-test-trial-34,same,1.02,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
35,46-test-trial-35,same,0.8300000000000001,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
36,47-test-trial-36,same,1.3400000000000003,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
