,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.9,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
1,13-test-trial-2,same,0.8999999999999999,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
2,14-test-trial-3,different,2.3000000000000003,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
3,15-test-trial-4,different,2.1999999999999997,carol_brenda.png,carol_carol.png,aligned_same,False
4,16-test-trial-5,different,2.4999999999999996,debra_debra.png,debra_edita.png,aligned_same,False
5,17-test-trial-6,same,2.3999999999999995,elena_eleanora.png,elena_elena.png,misaligned_same,True
6,18-test-trial-7,same,3.0999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
7,19-test-trial-8,different,1.9099999999999997,dominik_hynek.png,hynek_dominik.png,aligned_different,True
8,20-test-trial-9,different,0.8999999999999999,elias_prokop.png,elias_elias.png,aligned_same,False
9,21-test-trial-10,same,3.3999999999999995,prokop_prokop.png,prokop_elias.png,misaligned_same,True
10,22-test-trial-11,same,1.1999999999999997,edita_debra.png,edita_edita.png,misaligned_same,True
11,23-test-trial-12,same,1.0,brenda_brenda.png,brenda_carol.png,misaligned_same,True
12,24-test-trial-13,same,0.10000000000000009,andrej_drahomir.png,drahomir_andrej.png,aligned_different,False
13,25-test-trial-14,same,0.8999999999999999,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
14,26-test-trial-15,same,7.300000000000001,saskie_milota.png,milota_saskie.png,misaligned_different,False
15,27-test-trial-16,different,2.0999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
16,28-test-trial-17,different,1.2999999999999998,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
17,29-test-trial-18,different,0.19999999999999973,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,False
18,30-test-trial-19,different,4.199999999999999,justin_vasil.png,vasil_justin.png,misaligned_different,True
19,31-test-trial-20,same,3.9999999999999996,perla_perla.png,perla_viktoria.png,misaligned_same,True
20,32-test-trial-21,different,9.399999999999999,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
21,33-test-trial-22,different,5.8,lea_lea.png,lea_stela.png,misaligned_same,False
22,34-test-trial-23,different,9.8,cenek_cenek.png,cenek_aurel.png,aligned_same,False
23,35-test-trial-24,same,7.700000000000001,vladena_margita.png,vladena_vladena.png,misaligned_same,True
24,36-test-trial-25,same,5.300000000000001,stela_lea.png,stela_stela.png,aligned_same,True
25,37-test-trial-26,same,0.0,josef_maxim.png,maxim_josef.png,aligned_different,False
26,38-test-trial-27,same,0.40000000000000036,miriama_livia.png,livia_miriama.png,aligned_different,False
27,39-test-trial-28,same,5.700000000000001,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
28,40-test-trial-29,different,2.3000000000000003,margita_margita.png,margita_vladena.png,aligned_same,False
29,41-test-trial-30,different,1.6999999999999997,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,False
30,42-test-trial-31,different,3.7,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
31,43-test-trial-32,different,1.7999999999999998,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,False
32,44-test-trial-33,same,2.3,viola_peggy.png,peggy_viola.png,misaligned_different,False
33,45-test-trial-34,same,2.6000000000000005,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
34,46-test-trial-35,different,2.3,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
35,47-test-trial-36,different,3.3,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
