,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,18.0,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
1,13-test-trial-2,different,3.5999999999999996,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
2,14-test-trial-3,same,3.5,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
3,15-test-trial-4,same,0.10000000000000009,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
4,16-test-trial-5,different,1.1,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
5,17-test-trial-6,same,0.5,edita_debra.png,edita_edita.png,aligned_same,True
6,18-test-trial-7,same,0.2999999999999998,brenda_brenda.png,brenda_carol.png,aligned_same,True
7,19-test-trial-8,different,1.7000000000000002,justin_vasil.png,vasil_justin.png,aligned_different,True
8,20-test-trial-9,same,2.0,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
9,21-test-trial-10,same,0.7000000000000002,peggy_peggy.png,peggy_viola.png,misaligned_same,True
10,22-test-trial-11,same,0.09999999999999964,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
11,23-test-trial-12,same,2.3,stela_lea.png,stela_stela.png,aligned_same,True
12,24-test-trial-13,same,0.2999999999999998,elias_prokop.png,elias_elias.png,aligned_same,True
13,25-test-trial-14,same,0.7999999999999998,linda_jindriska.png,jindriska_linda.png,aligned_different,False
14,26-test-trial-15,different,2.5,elena_eleanora.png,eleanora_elena.png,aligned_different,True
15,27-test-trial-16,different,0.2999999999999998,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
16,28-test-trial-17,same,0.6000000000000001,margita_margita.png,margita_vladena.png,aligned_same,True
17,29-test-trial-18,same,0.3999999999999999,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,False
18,30-test-trial-19,same,0.5,josef_maxim.png,maxim_josef.png,aligned_different,False
19,31-test-trial-20,same,0.20000000000000018,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
20,32-test-trial-21,same,0.1999999999999993,aurel_cenek.png,aurel_aurel.png,aligned_same,True
21,33-test-trial-22,same,0.10000000000000009,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
22,34-test-trial-23,same,0.10000000000000009,saskie_milota.png,milota_saskie.png,misaligned_different,False
23,35-test-trial-24,same,0.10000000000000009,carol_brenda.png,carol_carol.png,misaligned_same,True
24,36-test-trial-25,same,0.10000000000000009,miriama_livia.png,livia_miriama.png,aligned_different,False
25,37-test-trial-26,same,0.5,vladena_margita.png,vladena_vladena.png,misaligned_same,True
26,38-test-trial-27,same,14.0,bernard_rehor.png,bernard_bernard.png,aligned_same,True
27,39-test-trial-28,same,4.1,prokop_prokop.png,prokop_elias.png,misaligned_same,True
28,40-test-trial-29,same,0.10000000000000009,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
29,41-test-trial-30,same,9.0,debra_debra.png,debra_edita.png,misaligned_same,True
30,42-test-trial-31,same,0.5,viola_peggy.png,viola_viola.png,aligned_same,True
31,43-test-trial-32,same,1.2000000000000002,lea_lea.png,lea_stela.png,misaligned_same,True
32,44-test-trial-33,same,2.8,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,False
33,45-test-trial-34,same,2.9000000000000004,dominik_hynek.png,dominik_dominik.png,aligned_same,True
34,46-test-trial-35,same,8.31,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
35,47-test-trial-36,same,6.4,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,False
