,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.539999999999999,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
1,13-test-trial-2,different,4.06,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
2,14-test-trial-3,same,13.42,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
3,15-test-trial-4,same,14.340000000000002,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
4,16-test-trial-5,same,12.3,linda_jindriska.png,linda_linda.png,misaligned_same,True
5,17-test-trial-6,different,5.200000000000001,elias_prokop.png,prokop_elias.png,aligned_different,True
6,18-test-trial-7,same,2.43,justin_vasil.png,justin_justin.png,misaligned_same,True
7,19-test-trial-8,different,7.159999999999999,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
8,20-test-trial-9,same,18.64,josef_maxim.png,josef_josef.png,aligned_same,True
9,21-test-trial-10,same,2.97,livia_livia.png,livia_miriama.png,aligned_same,True
10,22-test-trial-11,same,12.24,edita_debra.png,edita_edita.png,misaligned_same,True
11,23-test-trial-12,same,9.02,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
12,24-test-trial-13,different,6.26,carol_brenda.png,brenda_carol.png,aligned_different,True
13,25-test-trial-14,different,3.5700000000000003,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
14,26-test-trial-15,same,15.290000000000003,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
15,27-test-trial-16,same,2.85,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
16,28-test-trial-17,same,9.610000000000001,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
17,29-test-trial-18,different,4.3100000000000005,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
18,30-test-trial-19,different,12.42,aurel_cenek.png,cenek_aurel.png,aligned_different,True
19,31-test-trial-20,same,10.85,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
20,32-test-trial-21,different,9.120000000000001,viola_peggy.png,peggy_viola.png,misaligned_different,True
21,33-test-trial-22,different,1.9499999999999997,stela_lea.png,lea_stela.png,aligned_different,True
22,34-test-trial-23,same,1.8299999999999996,vasil_vasil.png,vasil_justin.png,aligned_same,True
23,35-test-trial-24,same,18.12,milota_milota.png,milota_saskie.png,misaligned_same,True
24,36-test-trial-25,same,3.15,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
25,37-test-trial-26,same,1.3400000000000003,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
26,38-test-trial-27,same,17.59,maxim_maxim.png,maxim_josef.png,misaligned_same,True
27,39-test-trial-28,same,3.17,saskie_milota.png,saskie_saskie.png,aligned_same,True
28,40-test-trial-29,same,5.199999999999999,hynek_hynek.png,hynek_dominik.png,aligned_same,True
29,41-test-trial-30,different,4.2,vladena_margita.png,margita_vladena.png,aligned_different,True
30,42-test-trial-31,same,6.23,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
31,43-test-trial-32,same,14.55,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
32,44-test-trial-33,same,23.73,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
33,45-test-trial-34,same,3.8,debra_debra.png,debra_edita.png,aligned_same,True
34,46-test-trial-35,different,6.540000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
35,47-test-trial-36,same,2.9899999999999998,miriama_livia.png,miriama_miriama.png,misaligned_same,True
