,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.6999999999999993,justin_vasil.png,vasil_justin.png,aligned_different,False
1,13-test-trial-2,same,1.6,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
2,14-test-trial-3,same,1.2999999999999998,rehor_rehor.png,rehor_bernard.png,aligned_same,True
3,15-test-trial-4,same,1.6,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,False
4,16-test-trial-5,same,3.8,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
5,17-test-trial-6,same,1.2000000000000002,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
6,18-test-trial-7,same,0.8999999999999999,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
7,19-test-trial-8,same,1.2999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
8,20-test-trial-9,same,1.3000000000000003,milota_milota.png,milota_saskie.png,aligned_same,True
9,21-test-trial-10,same,3.0999999999999996,edita_debra.png,debra_edita.png,misaligned_different,False
10,22-test-trial-11,same,1.0999999999999996,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
11,23-test-trial-12,same,0.8999999999999999,peggy_peggy.png,peggy_viola.png,aligned_same,True
12,24-test-trial-13,same,2.4,miriama_livia.png,livia_miriama.png,aligned_different,False
13,25-test-trial-14,same,2.9,viola_peggy.png,viola_viola.png,misaligned_same,True
14,26-test-trial-15,same,5.1,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
15,27-test-trial-16,same,2.7,lea_lea.png,lea_stela.png,aligned_same,True
16,28-test-trial-17,same,2.9000000000000004,elena_eleanora.png,elena_elena.png,misaligned_same,True
17,29-test-trial-18,same,1.3000000000000003,elias_prokop.png,elias_elias.png,misaligned_same,True
18,30-test-trial-19,same,3.9999999999999996,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
19,31-test-trial-20,same,1.7000000000000002,vladena_margita.png,margita_vladena.png,misaligned_different,False
20,32-test-trial-21,same,2.0,stela_lea.png,stela_stela.png,misaligned_same,True
21,33-test-trial-22,same,2.4000000000000004,linda_jindriska.png,jindriska_linda.png,aligned_different,False
22,34-test-trial-23,same,2.4999999999999996,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
23,35-test-trial-24,same,8.700000000000001,perla_perla.png,perla_viktoria.png,misaligned_same,True
24,36-test-trial-25,different,6.300000000000001,carol_brenda.png,brenda_carol.png,misaligned_different,True
25,37-test-trial-26,same,23.7,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
26,38-test-trial-27,different,16.099999999999998,dominik_hynek.png,hynek_dominik.png,aligned_different,True
27,39-test-trial-28,different,8.3,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
28,40-test-trial-29,different,11.2,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
29,41-test-trial-30,different,8.0,josef_maxim.png,maxim_josef.png,aligned_different,True
30,42-test-trial-31,same,2.0,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
31,43-test-trial-32,same,5.0,prokop_prokop.png,prokop_elias.png,aligned_same,True
32,44-test-trial-33,same,6.0,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
33,45-test-trial-34,same,6.300000000000001,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
34,46-test-trial-35,same,2.7,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
35,47-test-trial-36,same,1.2999999999999998,saskie_milota.png,saskie_saskie.png,misaligned_same,True
