,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,15.499999999999998,perla_perla.png,perla_viktoria.png,misaligned_same,True
1,13-test-trial-2,same,4.6,peggy_peggy.png,peggy_viola.png,misaligned_same,True
2,14-test-trial-3,same,9.5,livia_livia.png,livia_miriama.png,aligned_same,True
3,15-test-trial-4,same,14.999999999999998,elena_eleanora.png,eleanora_elena.png,aligned_different,False
4,16-test-trial-5,same,2.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
5,17-test-trial-6,same,0.6000000000000001,henrich_tomasi.png,tomasi_henrich.png,aligned_different,False
6,18-test-trial-7,same,7.6,vladena_margita.png,vladena_vladena.png,aligned_same,True
7,19-test-trial-8,same,2.8,rehor_rehor.png,rehor_bernard.png,aligned_same,True
8,20-test-trial-9,different,3.0,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
9,21-test-trial-10,different,0.2999999999999998,edita_debra.png,debra_edita.png,misaligned_different,True
10,22-test-trial-11,different,0.2999999999999998,carol_brenda.png,brenda_carol.png,aligned_different,True
11,23-test-trial-12,same,1.5999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
12,24-test-trial-13,different,4.9,saskie_milota.png,milota_saskie.png,aligned_different,True
13,25-test-trial-14,different,1.0,elias_prokop.png,prokop_elias.png,misaligned_different,True
14,26-test-trial-15,same,2.8,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
15,27-test-trial-16,same,26.7,miriama_livia.png,miriama_miriama.png,misaligned_same,True
16,28-test-trial-17,same,1.0,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
17,29-test-trial-18,same,4.9,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
18,30-test-trial-19,different,1.4000000000000004,stela_lea.png,lea_stela.png,misaligned_different,True
19,31-test-trial-20,different,1.5,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
20,32-test-trial-21,same,2.3000000000000003,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
21,33-test-trial-22,different,2.6,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
22,34-test-trial-23,same,1.6999999999999997,josef_maxim.png,josef_josef.png,aligned_same,True
23,35-test-trial-24,same,1.2000000000000002,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
24,36-test-trial-25,same,0.8000000000000003,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
25,37-test-trial-26,same,2.0000000000000004,cenek_cenek.png,cenek_aurel.png,aligned_same,True
26,38-test-trial-27,same,4.0,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
27,39-test-trial-28,same,3.4,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
28,40-test-trial-29,different,7.199999999999999,justin_vasil.png,justin_justin.png,aligned_same,False
29,41-test-trial-30,same,4.5,margita_margita.png,margita_vladena.png,misaligned_same,True
30,42-test-trial-31,same,0.7000000000000002,vasil_vasil.png,vasil_justin.png,misaligned_same,True
31,43-test-trial-32,same,3.4,viola_peggy.png,viola_viola.png,aligned_same,True
32,44-test-trial-33,same,1.1,maxim_maxim.png,maxim_josef.png,misaligned_same,True
33,45-test-trial-34,different,3.8000000000000003,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
34,46-test-trial-35,same,6.6,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
35,47-test-trial-36,same,4.4,linda_jindriska.png,linda_linda.png,aligned_same,True
