,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,5.51,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
1,13-test-trial-2,same,3.04,edita_debra.png,edita_edita.png,aligned_same,True
2,14-test-trial-3,different,12.870000000000001,cenek_cenek.png,cenek_aurel.png,aligned_same,False
3,15-test-trial-4,different,5.5,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
4,16-test-trial-5,same,3.9599999999999995,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
5,17-test-trial-6,same,2.76,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
6,18-test-trial-7,same,8.4,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
7,19-test-trial-8,same,7.33,vasil_vasil.png,vasil_justin.png,misaligned_same,True
8,20-test-trial-9,different,7.1,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
9,21-test-trial-10,different,4.800000000000001,saskie_milota.png,milota_saskie.png,misaligned_different,True
10,22-test-trial-11,different,3.8800000000000003,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
11,23-test-trial-12,same,7.84,linda_jindriska.png,linda_linda.png,aligned_same,True
12,24-test-trial-13,same,5.73,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
13,25-test-trial-14,same,11.09,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
14,26-test-trial-15,same,9.52,lea_lea.png,lea_stela.png,misaligned_same,True
15,27-test-trial-16,different,2.25,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
16,28-test-trial-17,same,6.529999999999999,vladena_margita.png,vladena_vladena.png,aligned_same,True
17,29-test-trial-18,same,5.8999999999999995,stela_lea.png,stela_stela.png,aligned_same,True
18,30-test-trial-19,different,2.0500000000000003,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
19,31-test-trial-20,same,6.449999999999999,carol_brenda.png,carol_carol.png,misaligned_same,True
20,32-test-trial-21,same,5.800000000000001,debra_debra.png,debra_edita.png,misaligned_same,True
21,33-test-trial-22,same,2.42,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
22,34-test-trial-23,different,6.32,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
23,35-test-trial-24,same,5.73,margita_margita.png,margita_vladena.png,misaligned_same,True
24,36-test-trial-25,same,1.67,justin_vasil.png,justin_justin.png,aligned_same,True
25,37-test-trial-26,different,5.029999999999999,viktoria_perla.png,perla_viktoria.png,aligned_different,True
26,38-test-trial-27,different,2.06,miriama_livia.png,livia_miriama.png,aligned_different,True
27,39-test-trial-28,same,2.0200000000000005,elias_prokop.png,elias_elias.png,misaligned_same,True
28,40-test-trial-29,same,1.54,brenda_brenda.png,brenda_carol.png,aligned_same,True
29,41-test-trial-30,different,3.35,josef_maxim.png,maxim_josef.png,aligned_different,True
30,42-test-trial-31,different,4.569999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,True
31,43-test-trial-32,different,2.0599999999999996,dominik_hynek.png,hynek_dominik.png,aligned_different,True
32,44-test-trial-33,different,1.0299999999999998,viola_peggy.png,peggy_viola.png,misaligned_different,True
33,45-test-trial-34,same,2.96,prokop_prokop.png,prokop_elias.png,aligned_same,True
34,46-test-trial-35,same,5.11,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
35,47-test-trial-36,same,1.4400000000000004,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
