,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,7.1,lea_lea.png,lea_stela.png,aligned_same,False
1,13-test-trial-2,different,8.5,prokop_prokop.png,prokop_elias.png,aligned_same,False
2,14-test-trial-3,different,22.0,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
3,15-test-trial-4,different,3.4999999999999996,justin_vasil.png,vasil_justin.png,misaligned_different,True
4,16-test-trial-5,different,1.8999999999999995,carol_brenda.png,brenda_carol.png,aligned_different,True
5,17-test-trial-6,different,16.5,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
6,18-test-trial-7,different,6.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
7,19-test-trial-8,different,6.1,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
8,20-test-trial-9,different,3.0,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
9,21-test-trial-10,different,12.72,viola_peggy.png,peggy_viola.png,aligned_different,True
10,22-test-trial-11,different,11.299999999999999,milota_milota.png,milota_saskie.png,aligned_same,False
11,23-test-trial-12,same,2.4999999999999996,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
12,24-test-trial-13,same,14.700000000000001,miriama_livia.png,livia_miriama.png,aligned_different,False
13,25-test-trial-14,same,12.0,margita_margita.png,margita_vladena.png,aligned_same,True
14,26-test-trial-15,different,2.8,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
15,27-test-trial-16,same,2.2,vladena_margita.png,vladena_vladena.png,misaligned_same,True
16,28-test-trial-17,same,1.6,elena_eleanora.png,elena_elena.png,misaligned_same,True
17,29-test-trial-18,same,19.900000000000002,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
18,30-test-trial-19,same,27.4,stela_lea.png,stela_stela.png,misaligned_same,True
19,31-test-trial-20,same,2.9,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
20,32-test-trial-21,different,6.800000000000001,edita_debra.png,edita_edita.png,misaligned_same,False
21,33-test-trial-22,different,2.6999999999999997,bernard_rehor.png,rehor_bernard.png,aligned_different,True
22,34-test-trial-23,different,5.6,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
23,35-test-trial-24,same,4.1,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
24,36-test-trial-25,different,2.1,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
25,37-test-trial-26,different,2.9999999999999996,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
26,38-test-trial-27,same,2.2,debra_debra.png,debra_edita.png,aligned_same,True
27,39-test-trial-28,different,4.199999999999999,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
28,40-test-trial-29,different,8.6,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
29,41-test-trial-30,different,18.599999999999998,perla_perla.png,perla_viktoria.png,misaligned_same,False
30,42-test-trial-31,same,3.6999999999999993,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
31,43-test-trial-32,different,12.4,saskie_milota.png,saskie_saskie.png,misaligned_same,False
32,44-test-trial-33,different,37.0,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
33,45-test-trial-34,different,3.1999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_same,False
34,46-test-trial-35,different,2.1,josef_maxim.png,maxim_josef.png,aligned_different,True
35,47-test-trial-36,different,1.8000000000000003,elias_prokop.png,elias_elias.png,misaligned_same,False
