,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.799999999999999,debra_debra.png,debra_edita.png,misaligned_same,False
1,13-test-trial-2,different,3.3,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
2,14-test-trial-3,different,1.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_different,True
3,15-test-trial-4,different,2.0,stela_lea.png,lea_stela.png,aligned_different,True
4,16-test-trial-5,different,12.999999999999998,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
5,17-test-trial-6,same,1.0,elena_eleanora.png,elena_elena.png,misaligned_same,True
6,18-test-trial-7,same,2.0999999999999996,edita_debra.png,edita_edita.png,aligned_same,True
7,19-test-trial-8,same,5.4,justin_vasil.png,justin_justin.png,aligned_same,True
8,20-test-trial-9,different,5.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
9,21-test-trial-10,different,4.0,bernard_rehor.png,rehor_bernard.png,aligned_different,True
10,22-test-trial-11,different,1.0,viola_peggy.png,peggy_viola.png,aligned_different,True
11,23-test-trial-12,same,1.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
12,24-test-trial-13,different,0.6000000000000001,elias_prokop.png,prokop_elias.png,aligned_different,True
13,25-test-trial-14,same,0.20000000000000018,linda_jindriska.png,linda_linda.png,misaligned_same,True
14,26-test-trial-15,same,2.0999999999999996,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
15,27-test-trial-16,same,1.5,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
16,28-test-trial-17,same,11.8,vladena_margita.png,vladena_vladena.png,aligned_same,True
17,29-test-trial-18,same,2.4000000000000004,saskie_milota.png,saskie_saskie.png,aligned_same,True
18,30-test-trial-19,different,1.0999999999999996,viktoria_perla.png,perla_viktoria.png,aligned_different,True
19,31-test-trial-20,same,7.4,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
20,32-test-trial-21,different,4.0,miriama_livia.png,livia_miriama.png,misaligned_different,True
21,33-test-trial-22,different,1.4000000000000004,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
22,34-test-trial-23,same,4.1,carol_brenda.png,carol_carol.png,aligned_same,True
23,35-test-trial-24,different,7.1,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
24,36-test-trial-25,same,3.4000000000000004,margita_margita.png,margita_vladena.png,misaligned_same,True
25,37-test-trial-26,same,1.7999999999999998,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
26,38-test-trial-27,same,0.5,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
27,39-test-trial-28,same,1.3000000000000003,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
28,40-test-trial-29,same,0.7000000000000002,brenda_brenda.png,brenda_carol.png,misaligned_same,True
29,41-test-trial-30,different,1.6000000000000005,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
30,42-test-trial-31,same,8.8,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
31,43-test-trial-32,same,3.9000000000000004,cenek_cenek.png,cenek_aurel.png,aligned_same,True
32,44-test-trial-33,same,1.2000000000000002,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
33,45-test-trial-34,same,0.20000000000000018,milota_milota.png,milota_saskie.png,misaligned_same,True
34,46-test-trial-35,same,4.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
35,47-test-trial-36,same,0.10000000000000009,vasil_vasil.png,vasil_justin.png,misaligned_same,True
