,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.5,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
1,13-test-trial-2,different,4.0,stela_lea.png,lea_stela.png,misaligned_different,True
2,14-test-trial-3,same,1.8999999999999995,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
3,15-test-trial-4,different,5.800000000000001,perla_perla.png,perla_viktoria.png,aligned_same,False
4,16-test-trial-5,same,2.5999999999999996,brenda_brenda.png,brenda_carol.png,aligned_same,True
5,17-test-trial-6,different,4.5,vladena_margita.png,margita_vladena.png,misaligned_different,True
6,18-test-trial-7,different,3.1,bernard_rehor.png,rehor_bernard.png,aligned_different,True
7,19-test-trial-8,same,2.3,carol_brenda.png,carol_carol.png,misaligned_same,True
8,20-test-trial-9,same,2.0999999999999996,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
9,21-test-trial-10,same,2.1,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
10,22-test-trial-11,same,2.0999999999999996,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
11,23-test-trial-12,different,2.3999999999999995,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
12,24-test-trial-13,different,6.800000000000001,saskie_milota.png,saskie_saskie.png,aligned_same,False
13,25-test-trial-14,different,5.499999999999999,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
14,26-test-trial-15,different,4.4,josef_maxim.png,josef_josef.png,aligned_same,False
15,27-test-trial-16,same,4.1,viola_peggy.png,peggy_viola.png,aligned_different,False
16,28-test-trial-17,different,3.3999999999999995,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,False
17,29-test-trial-18,different,4.2,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
18,30-test-trial-19,different,2.6,justin_vasil.png,vasil_justin.png,misaligned_different,True
19,31-test-trial-20,different,2.8,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,False
20,32-test-trial-21,different,1.4000000000000004,maxim_maxim.png,maxim_josef.png,misaligned_same,False
21,33-test-trial-22,different,1.8999999999999995,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,False
22,34-test-trial-23,different,1.7000000000000002,oleg_tichomir.png,oleg_oleg.png,misaligned_same,False
23,35-test-trial-24,different,1.8000000000000003,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
24,36-test-trial-25,different,2.9999999999999996,milota_milota.png,milota_saskie.png,misaligned_same,False
25,37-test-trial-26,different,14.7,debra_debra.png,debra_edita.png,misaligned_same,False
26,38-test-trial-27,different,3.3999999999999995,elena_eleanora.png,eleanora_elena.png,aligned_different,True
27,39-test-trial-28,same,4.6,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
28,40-test-trial-29,same,5.1,dominik_hynek.png,hynek_dominik.png,aligned_different,False
29,41-test-trial-30,different,4.5,livia_livia.png,livia_miriama.png,misaligned_same,False
30,42-test-trial-31,different,4.1,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
31,43-test-trial-32,different,2.8,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
32,44-test-trial-33,different,4.9,miriama_livia.png,miriama_miriama.png,aligned_same,False
33,45-test-trial-34,different,1.1999999999999997,elias_prokop.png,prokop_elias.png,misaligned_different,True
34,46-test-trial-35,different,2.0999999999999996,edita_debra.png,edita_edita.png,aligned_same,False
35,47-test-trial-36,different,6.7,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
