,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.0,brenda_brenda.png,brenda_carol.png,misaligned_same,True
1,13-test-trial-2,same,2.4,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
2,14-test-trial-3,same,1.6,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
3,15-test-trial-4,same,1.4999999999999996,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
4,16-test-trial-5,different,4.0,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
5,17-test-trial-6,different,1.7000000000000002,elena_eleanora.png,eleanora_elena.png,aligned_different,True
6,18-test-trial-7,different,3.3000000000000003,carol_brenda.png,carol_carol.png,aligned_same,False
7,19-test-trial-8,same,4.0,miriama_livia.png,livia_miriama.png,misaligned_different,False
8,20-test-trial-9,different,4.300000000000001,dominik_hynek.png,dominik_dominik.png,aligned_same,False
9,21-test-trial-10,different,1.7999999999999998,stela_lea.png,lea_stela.png,aligned_different,True
10,22-test-trial-11,different,2.1999999999999993,peggy_peggy.png,peggy_viola.png,aligned_same,False
11,23-test-trial-12,same,5.1000000000000005,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
12,24-test-trial-13,same,1.8000000000000003,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
13,25-test-trial-14,different,1.4,elias_prokop.png,prokop_elias.png,aligned_different,True
14,26-test-trial-15,different,0.8999999999999999,aurel_cenek.png,cenek_aurel.png,aligned_different,True
15,27-test-trial-16,same,1.7000000000000002,milota_milota.png,milota_saskie.png,misaligned_same,True
16,28-test-trial-17,different,4.8999999999999995,rehor_rehor.png,rehor_bernard.png,aligned_same,False
17,29-test-trial-18,same,1.6,perla_perla.png,perla_viktoria.png,misaligned_same,True
18,30-test-trial-19,same,1.6,josef_maxim.png,maxim_josef.png,misaligned_different,False
19,31-test-trial-20,same,2.5999999999999996,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,False
20,32-test-trial-21,same,3.0,edita_debra.png,debra_edita.png,misaligned_different,False
21,33-test-trial-22,different,5.0,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
22,34-test-trial-23,different,21.3,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,False
23,35-test-trial-24,different,14.600000000000001,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
24,36-test-trial-25,same,8.8,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
25,37-test-trial-26,same,8.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
26,38-test-trial-27,same,5.1,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
27,39-test-trial-28,different,7.4,vladena_margita.png,margita_vladena.png,aligned_different,True
28,40-test-trial-29,different,5.0,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
29,41-test-trial-30,different,5.8999999999999995,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
30,42-test-trial-31,different,4.5,justin_vasil.png,vasil_justin.png,misaligned_different,True
31,43-test-trial-32,same,2.3,viola_peggy.png,viola_viola.png,misaligned_same,True
32,44-test-trial-33,same,4.5,saskie_milota.png,saskie_saskie.png,aligned_same,True
33,45-test-trial-34,same,2.4,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
34,46-test-trial-35,same,5.199999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
35,47-test-trial-36,different,5.5,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
