,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,6.200000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
1,13-test-trial-2,same,4.9,rehor_rehor.png,rehor_bernard.png,aligned_same,True
2,14-test-trial-3,different,2.9,vladena_margita.png,margita_vladena.png,misaligned_different,True
3,15-test-trial-4,different,3.5,dominik_hynek.png,hynek_dominik.png,aligned_different,True
4,16-test-trial-5,same,3.6,carol_brenda.png,carol_carol.png,misaligned_same,True
5,17-test-trial-6,different,0.8999999999999999,miriama_livia.png,livia_miriama.png,misaligned_different,True
6,18-test-trial-7,same,4.1,linda_jindriska.png,linda_linda.png,aligned_same,True
7,19-test-trial-8,different,0.8999999999999999,edita_debra.png,debra_edita.png,aligned_different,True
8,20-test-trial-9,different,4.7,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
9,21-test-trial-10,same,2.3000000000000003,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
10,22-test-trial-11,different,0.3999999999999999,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
11,23-test-trial-12,same,4.5,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
12,24-test-trial-13,different,0.6999999999999997,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
13,25-test-trial-14,different,1.0999999999999996,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
14,26-test-trial-15,same,5.300000000000001,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
15,27-test-trial-16,same,1.9999999999999996,peggy_peggy.png,peggy_viola.png,misaligned_same,True
16,28-test-trial-17,same,1.5,prokop_prokop.png,prokop_elias.png,aligned_same,True
17,29-test-trial-18,same,1.0,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
18,30-test-trial-19,different,0.5,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
19,31-test-trial-20,different,1.0,vasil_vasil.png,vasil_justin.png,aligned_same,False
20,32-test-trial-21,same,6.7,perla_perla.png,perla_viktoria.png,aligned_same,True
21,33-test-trial-22,different,4.8,elena_eleanora.png,eleanora_elena.png,aligned_different,True
22,34-test-trial-23,same,4.3,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
23,35-test-trial-24,same,1.7999999999999998,stela_lea.png,stela_stela.png,misaligned_same,True
24,36-test-trial-25,same,0.10000000000000009,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
25,37-test-trial-26,same,0.6000000000000001,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
26,38-test-trial-27,same,0.09999999999999964,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
27,39-test-trial-28,same,0.10000000000000009,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
28,40-test-trial-29,same,4.8999999999999995,lea_lea.png,lea_stela.png,aligned_same,True
29,41-test-trial-30,same,6.3,elias_prokop.png,elias_elias.png,misaligned_same,True
30,42-test-trial-31,same,2.6999999999999997,justin_vasil.png,justin_justin.png,misaligned_same,True
31,43-test-trial-32,different,2.8000000000000003,josef_maxim.png,maxim_josef.png,misaligned_different,True
32,44-test-trial-33,different,4.6,viola_peggy.png,viola_viola.png,aligned_same,False
33,45-test-trial-34,same,3.8000000000000003,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
34,46-test-trial-35,different,2.8999999999999995,saskie_milota.png,milota_saskie.png,misaligned_different,True
35,47-test-trial-36,different,0.5999999999999996,brenda_brenda.png,brenda_carol.png,aligned_same,False
