,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.9000000000000004,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
1,13-test-trial-2,same,3.3100000000000005,rehor_rehor.png,rehor_bernard.png,aligned_same,True
2,14-test-trial-3,same,0.7999999999999998,prokop_prokop.png,prokop_elias.png,misaligned_same,True
3,15-test-trial-4,different,2.8999999999999995,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
4,16-test-trial-5,different,2.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
5,17-test-trial-6,different,4.699999999999999,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
6,18-test-trial-7,same,6.000000000000001,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
7,19-test-trial-8,same,3.0,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
8,20-test-trial-9,different,2.0,josef_maxim.png,maxim_josef.png,aligned_different,True
9,21-test-trial-10,different,3.3999999999999995,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
10,22-test-trial-11,same,2.8200000000000003,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
11,23-test-trial-12,different,3.3,edita_debra.png,debra_edita.png,misaligned_different,True
12,24-test-trial-13,different,1.5,aurel_cenek.png,cenek_aurel.png,aligned_different,True
13,25-test-trial-14,same,2.4000000000000004,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
14,26-test-trial-15,same,1.2999999999999998,milota_milota.png,milota_saskie.png,aligned_same,True
15,27-test-trial-16,different,1.2999999999999998,elias_prokop.png,elias_elias.png,aligned_same,False
16,28-test-trial-17,same,1.0,viola_peggy.png,viola_viola.png,misaligned_same,True
17,29-test-trial-18,different,0.5999999999999996,lea_lea.png,lea_stela.png,aligned_same,False
18,30-test-trial-19,same,0.2999999999999998,perla_perla.png,perla_viktoria.png,misaligned_same,True
19,31-test-trial-20,different,0.5,elena_eleanora.png,eleanora_elena.png,aligned_different,True
20,32-test-trial-21,different,0.20000000000000018,linda_jindriska.png,linda_linda.png,misaligned_same,False
21,33-test-trial-22,different,1.9000000000000004,carol_brenda.png,brenda_carol.png,misaligned_different,True
22,34-test-trial-23,same,1.1999999999999997,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
23,35-test-trial-24,same,0.9000000000000004,justin_vasil.png,justin_justin.png,misaligned_same,True
24,36-test-trial-25,different,1.21,vladena_margita.png,margita_vladena.png,aligned_different,True
25,37-test-trial-26,different,4.4,peggy_peggy.png,peggy_viola.png,aligned_same,False
26,38-test-trial-27,same,4.1000000000000005,saskie_milota.png,saskie_saskie.png,misaligned_same,True
27,39-test-trial-28,different,3.0,miriama_livia.png,livia_miriama.png,aligned_different,True
28,40-test-trial-29,different,3.9000000000000004,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
29,41-test-trial-30,same,2.8099999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
30,42-test-trial-31,different,5.1000000000000005,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
31,43-test-trial-32,different,1.6000000000000005,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
32,44-test-trial-33,different,2.0,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
33,45-test-trial-34,different,6.3999999999999995,vasil_vasil.png,vasil_justin.png,aligned_same,False
34,46-test-trial-35,different,2.3,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
35,47-test-trial-36,same,8.3,stela_lea.png,stela_stela.png,misaligned_same,True
