,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.1999999999999993,vladena_margita.png,margita_vladena.png,misaligned_different,True
1,13-test-trial-2,different,0.6999999999999997,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,False
2,14-test-trial-3,different,1.9,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
3,15-test-trial-4,same,4.6,elena_eleanora.png,elena_elena.png,misaligned_same,True
4,16-test-trial-5,same,3.3000000000000003,brenda_brenda.png,brenda_carol.png,misaligned_same,True
5,17-test-trial-6,same,3.6999999999999997,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
6,18-test-trial-7,same,7.200000000000001,peggy_peggy.png,peggy_viola.png,misaligned_same,True
7,19-test-trial-8,same,4.199999999999999,saskie_milota.png,saskie_saskie.png,aligned_same,True
8,20-test-trial-9,same,0.3999999999999999,milota_milota.png,milota_saskie.png,misaligned_same,True
9,21-test-trial-10,same,0.10000000000000009,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
10,22-test-trial-11,same,2.6999999999999993,linda_jindriska.png,linda_linda.png,misaligned_same,True
11,23-test-trial-12,different,3.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
12,24-test-trial-13,same,5.0,justin_vasil.png,justin_justin.png,misaligned_same,True
13,25-test-trial-14,different,2.8000000000000003,elias_prokop.png,prokop_elias.png,aligned_different,True
14,26-test-trial-15,different,0.3999999999999999,miriama_livia.png,livia_miriama.png,misaligned_different,True
15,27-test-trial-16,different,0.10000000000000009,edita_debra.png,debra_edita.png,aligned_different,True
16,28-test-trial-17,different,1.5999999999999996,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
17,29-test-trial-18,different,3.1,dominik_hynek.png,hynek_dominik.png,aligned_different,True
18,30-test-trial-19,different,0.0,vasil_vasil.png,vasil_justin.png,aligned_same,False
19,31-test-trial-20,same,0.20000000000000018,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
20,32-test-trial-21,different,1.2999999999999998,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
21,33-test-trial-22,different,2.9,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
22,34-test-trial-23,same,1.6,viola_peggy.png,viola_viola.png,aligned_same,True
23,35-test-trial-24,different,0.8999999999999999,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
24,36-test-trial-25,different,0.19999999999999973,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
25,37-test-trial-26,same,1.63,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
26,38-test-trial-27,same,3.3,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
27,39-test-trial-28,same,5.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
28,40-test-trial-29,same,1.4,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
29,41-test-trial-30,different,1.1,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
30,42-test-trial-31,same,1.0,carol_brenda.png,carol_carol.png,aligned_same,True
31,43-test-trial-32,same,3.8000000000000003,rehor_rehor.png,rehor_bernard.png,aligned_same,True
32,44-test-trial-33,different,1.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_different,True
33,45-test-trial-34,different,1.0,stela_lea.png,lea_stela.png,aligned_different,True
34,46-test-trial-35,same,4.5,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
35,47-test-trial-36,different,3.1,lumir_vladislav.png,lumir_lumir.png,aligned_same,False
