,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.16000000000000014,peggy_peggy.png,peggy_viola.png,aligned_same,True
1,13-test-trial-2,different,3.0999999999999996,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
2,14-test-trial-3,same,1.3999999999999995,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
3,15-test-trial-4,same,0.5999999999999996,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
4,16-test-trial-5,same,1.4999999999999996,margita_margita.png,margita_vladena.png,misaligned_same,True
5,17-test-trial-6,same,0.19999999999999973,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
6,18-test-trial-7,same,0.8999999999999999,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
7,19-test-trial-8,different,1.2000000000000002,miriama_livia.png,livia_miriama.png,aligned_different,True
8,20-test-trial-9,same,2.3000000000000003,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
9,21-test-trial-10,same,0.5,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
10,22-test-trial-11,different,3.4000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
11,23-test-trial-12,same,3.6999999999999997,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
12,24-test-trial-13,different,1.6999999999999997,josef_maxim.png,maxim_josef.png,aligned_different,True
13,25-test-trial-14,same,4.6,viola_peggy.png,viola_viola.png,misaligned_same,True
14,26-test-trial-15,same,1.1999999999999997,vladena_margita.png,vladena_vladena.png,aligned_same,True
15,27-test-trial-16,same,4.800000000000001,bernard_rehor.png,bernard_bernard.png,aligned_same,True
16,28-test-trial-17,same,10.100000000000001,elias_prokop.png,elias_elias.png,aligned_same,True
17,29-test-trial-18,same,0.10000000000000009,aurel_cenek.png,aurel_aurel.png,aligned_same,True
18,30-test-trial-19,same,0.2999999999999998,brenda_brenda.png,brenda_carol.png,aligned_same,True
19,31-test-trial-20,different,9.0,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,False
20,32-test-trial-21,different,0.5999999999999996,elena_eleanora.png,elena_elena.png,aligned_same,False
21,33-test-trial-22,same,4.300000000000001,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
22,34-test-trial-23,different,3.1,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
23,35-test-trial-24,different,7.7,dominik_hynek.png,dominik_dominik.png,aligned_same,False
24,36-test-trial-25,different,0.8999999999999999,lea_lea.png,lea_stela.png,aligned_same,False
25,37-test-trial-26,same,1.8999999999999995,stela_lea.png,stela_stela.png,misaligned_same,True
26,38-test-trial-27,same,2.6999999999999997,prokop_prokop.png,prokop_elias.png,misaligned_same,True
27,39-test-trial-28,different,4.9,carol_brenda.png,carol_carol.png,misaligned_same,False
28,40-test-trial-29,different,2.9,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
29,41-test-trial-30,different,0.8999999999999999,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
30,42-test-trial-31,different,6.300000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
31,43-test-trial-32,different,1.3999999999999995,saskie_milota.png,milota_saskie.png,misaligned_different,True
32,44-test-trial-33,same,1.8000000000000003,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
33,45-test-trial-34,different,2.9000000000000004,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
34,46-test-trial-35,different,1.1,justin_vasil.png,vasil_justin.png,misaligned_different,True
35,47-test-trial-36,different,2.6999999999999997,edita_debra.png,debra_edita.png,aligned_different,True
