,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,5.000000000000001,milota_milota.png,milota_saskie.png,misaligned_same,True
1,13-test-trial-2,same,5.76,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
2,14-test-trial-3,different,5.389999999999999,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
3,15-test-trial-4,same,13.059999999999999,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
4,16-test-trial-5,same,2.73,edita_debra.png,edita_edita.png,misaligned_same,True
5,17-test-trial-6,same,8.34,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
6,18-test-trial-7,same,3.4399999999999995,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
7,19-test-trial-8,same,4.8500000000000005,brenda_brenda.png,brenda_carol.png,aligned_same,True
8,20-test-trial-9,same,2.3299999999999996,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
9,21-test-trial-10,same,3.17,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
10,22-test-trial-11,same,0.6100000000000003,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
11,23-test-trial-12,same,3.66,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
12,24-test-trial-13,same,4.109999999999999,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
13,25-test-trial-14,different,2.33,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
14,26-test-trial-15,,,perla_perla.png,perla_viktoria.png,aligned_same,
15,26-test-trial-15-repeat-1,same,2.14,perla_perla.png,perla_viktoria.png,aligned_same,True
16,27-test-trial-16,different,1.4099999999999997,aurel_cenek.png,cenek_aurel.png,aligned_different,True
17,28-test-trial-17,different,4.17,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
18,29-test-trial-18,same,2.42,debra_debra.png,debra_edita.png,aligned_same,True
19,30-test-trial-19,same,3.04,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
20,31-test-trial-20,different,1.9299999999999997,elias_prokop.png,prokop_elias.png,aligned_different,True
21,32-test-trial-21,different,1.25,vladena_margita.png,margita_vladena.png,aligned_different,True
22,33-test-trial-22,different,0.10000000000000009,josef_maxim.png,maxim_josef.png,aligned_different,True
23,34-test-trial-23,different,0.5099999999999998,justin_vasil.png,vasil_justin.png,misaligned_different,True
24,35-test-trial-24,same,2.53,viola_peggy.png,peggy_viola.png,misaligned_different,False
25,36-test-trial-25,same,3.2899999999999996,dominik_hynek.png,dominik_dominik.png,aligned_same,True
26,37-test-trial-26,different,4.77,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
27,38-test-trial-27,same,18.42,elena_eleanora.png,elena_elena.png,misaligned_same,True
28,39-test-trial-28,same,4.49,carol_brenda.png,carol_carol.png,misaligned_same,True
29,40-test-trial-29,different,7.779999999999999,stela_lea.png,lea_stela.png,aligned_different,True
30,41-test-trial-30,same,3.56,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
31,42-test-trial-31,different,2.55,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
32,43-test-trial-32,same,1.31,miriama_livia.png,livia_miriama.png,aligned_different,False
33,44-test-trial-33,same,0.10000000000000009,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
34,45-test-trial-34,same,0.10000000000000009,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
35,46-test-trial-35,different,1.02,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
36,47-test-trial-36,same,3.5500000000000003,saskie_milota.png,saskie_saskie.png,aligned_same,True
