,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,9.2,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
1,13-test-trial-2,different,5.4,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
2,14-test-trial-3,same,5.300000000000001,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
3,15-test-trial-4,same,3.4000000000000004,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
4,16-test-trial-5,same,12.4,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
5,17-test-trial-6,same,8.6,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
6,18-test-trial-7,different,6.4,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
7,19-test-trial-8,different,8.4,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
8,20-test-trial-9,same,1.6999999999999997,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
9,21-test-trial-10,same,2.0999999999999996,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
10,22-test-trial-11,same,3.3000000000000007,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
11,23-test-trial-12,same,3.2,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
12,24-test-trial-13,same,4.4,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
13,25-test-trial-14,same,4.3,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
14,26-test-trial-15,same,4.0,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
15,27-test-trial-16,same,2.5999999999999996,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
16,28-test-trial-17,same,1.1,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
17,29-test-trial-18,different,1.0,edita_debra.png,debra_edita.png,aligned_inverted_different,True
18,30-test-trial-19,different,3.9,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
19,31-test-trial-20,different,0.2999999999999998,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
20,32-test-trial-21,same,3.2,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
21,33-test-trial-22,different,1.2999999999999998,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
22,34-test-trial-23,same,1.7999999999999998,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
23,35-test-trial-24,different,2.8,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
24,36-test-trial-25,same,1.4,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
25,37-test-trial-26,same,8.3,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
26,38-test-trial-27,same,0.8999999999999999,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
27,39-test-trial-28,different,3.0999999999999996,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
28,40-test-trial-29,different,2.5,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,False
29,41-test-trial-30,different,0.8999999999999999,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
30,42-test-trial-31,same,0.20000000000000018,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
31,43-test-trial-32,different,1.1,margita_margita.png,margita_vladena.png,aligned_inverted_same,False
32,44-test-trial-33,different,6.199999999999999,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
33,45-test-trial-34,same,0.6999999999999997,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
34,46-test-trial-35,different,1.1,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,False
35,47-test-trial-36,same,5.5,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
