,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.5999999999999996,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
1,13-test-trial-2,same,3.1999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
2,14-test-trial-3,same,3.0,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
3,15-test-trial-4,same,2.5,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
4,16-test-trial-5,same,1.8000000000000003,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
5,17-test-trial-6,same,1.6999999999999997,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
6,18-test-trial-7,same,1.7000000000000002,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
7,19-test-trial-8,same,1.1,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
8,20-test-trial-9,different,8.7,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
9,21-test-trial-10,same,3.8,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
10,22-test-trial-11,different,1.5999999999999996,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
11,23-test-trial-12,same,7.6,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,False
12,24-test-trial-13,same,5.0,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
13,25-test-trial-14,same,3.0999999999999996,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
14,26-test-trial-15,different,3.5999999999999996,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
15,27-test-trial-16,same,4.9,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
16,28-test-trial-17,same,1.1999999999999997,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
17,29-test-trial-18,same,1.7999999999999998,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
18,30-test-trial-19,same,2.6,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
19,31-test-trial-20,same,4.800000000000001,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
20,32-test-trial-21,same,0.7000000000000002,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
21,33-test-trial-22,same,0.7999999999999998,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
22,34-test-trial-23,different,10.200000000000001,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
23,35-test-trial-24,different,9.3,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
24,36-test-trial-25,same,2.5,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
25,37-test-trial-26,same,2.3000000000000003,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,False
26,38-test-trial-27,same,0.6999999999999997,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
27,39-test-trial-28,same,2.0,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
28,40-test-trial-29,different,4.71,edita_debra.png,edita_edita.png,aligned_inverted_same,False
29,41-test-trial-30,different,4.9,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
30,42-test-trial-31,different,1.7999999999999998,debra_debra.png,debra_edita.png,misaligned_inverted_same,False
31,43-test-trial-32,same,5.2,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
32,44-test-trial-33,different,3.3,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
33,45-test-trial-34,different,3.6,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,False
34,46-test-trial-35,same,7.800000000000001,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
35,47-test-trial-36,same,2.8000000000000003,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
