,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.6000000000000005,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
1,13-test-trial-2,same,4.7,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
2,14-test-trial-3,same,7.4,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
3,15-test-trial-4,same,3.8000000000000003,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
4,16-test-trial-5,same,0.5,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
5,17-test-trial-6,same,2.9999999999999996,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
6,18-test-trial-7,same,0.7999999999999998,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
7,19-test-trial-8,different,3.8000000000000003,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
8,20-test-trial-9,same,8.0,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
9,21-test-trial-10,same,2.3000000000000003,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
10,22-test-trial-11,same,1.2000000000000002,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
11,23-test-trial-12,same,1.0,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,False
12,24-test-trial-13,different,3.1999999999999997,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
13,25-test-trial-14,same,6.1000000000000005,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
14,26-test-trial-15,same,1.0,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
15,27-test-trial-16,different,2.3000000000000003,stela_lea.png,lea_stela.png,aligned_inverted_different,True
16,28-test-trial-17,different,7.6,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
17,29-test-trial-18,same,1.1,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
18,30-test-trial-19,same,0.8999999999999999,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
19,31-test-trial-20,different,4.199999999999999,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
20,32-test-trial-21,same,1.5,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
21,33-test-trial-22,different,2.7,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
22,34-test-trial-23,same,6.2,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
23,35-test-trial-24,different,4.1,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
24,36-test-trial-25,different,4.5,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
25,37-test-trial-26,same,5.9,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
26,38-test-trial-27,same,8.4,edita_debra.png,edita_edita.png,aligned_inverted_same,True
27,39-test-trial-28,different,4.3999999999999995,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
28,40-test-trial-29,different,2.5,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
29,41-test-trial-30,same,1.4,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
30,42-test-trial-31,different,5.7,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
31,43-test-trial-32,same,2.1,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
32,44-test-trial-33,different,1.4,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
33,45-test-trial-34,same,6.1,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
34,46-test-trial-35,same,8.8,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
35,47-test-trial-36,same,2.4,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
