,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.8000000000000007,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
1,13-test-trial-2,same,4.1,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
2,14-test-trial-3,same,2.4999999999999996,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
3,15-test-trial-4,different,10.0,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
4,16-test-trial-5,same,9.0,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
5,17-test-trial-6,same,3.6,stela_lea.png,stela_stela.png,aligned_inverted_same,True
6,18-test-trial-7,different,7.5,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
7,19-test-trial-8,same,4.2,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
8,20-test-trial-9,same,6.300000000000001,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
9,21-test-trial-10,same,1.5999999999999996,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
10,22-test-trial-11,different,2.6000000000000005,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
11,23-test-trial-12,same,5.3,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
12,24-test-trial-13,different,3.8000000000000003,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
13,25-test-trial-14,same,10.0,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
14,26-test-trial-15,different,15.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
15,27-test-trial-16,different,4.0,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
16,28-test-trial-17,same,4.1,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
17,29-test-trial-18,same,2.4000000000000004,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
18,30-test-trial-19,same,1.4999999999999996,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
19,31-test-trial-20,same,0.6999999999999997,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
20,32-test-trial-21,different,4.1,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
21,33-test-trial-22,same,26.1,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
22,34-test-trial-23,different,2.3,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
23,35-test-trial-24,same,2.9,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
24,36-test-trial-25,same,3.3,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
25,37-test-trial-26,different,5.0,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
26,38-test-trial-27,same,4.8,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
27,39-test-trial-28,same,0.5,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
28,40-test-trial-29,same,1.2999999999999998,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
29,41-test-trial-30,same,0.7000000000000002,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
30,42-test-trial-31,different,6.300000000000001,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
31,43-test-trial-32,same,5.9,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,False
32,44-test-trial-33,same,31.9,debra_debra.png,debra_edita.png,aligned_inverted_same,True
33,45-test-trial-34,different,8.2,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
34,46-test-trial-35,same,5.0,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
35,47-test-trial-36,same,4.7,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
