,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.5,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
1,13-test-trial-2,same,1.6100000000000003,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
2,14-test-trial-3,same,2.1100000000000003,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
3,15-test-trial-4,same,0.8999999999999999,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
4,16-test-trial-5,different,2.0100000000000002,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
5,17-test-trial-6,different,3.02,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
6,18-test-trial-7,same,1.5999999999999996,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
7,19-test-trial-8,same,1.5100000000000002,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
8,20-test-trial-9,same,1.5099999999999998,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
9,21-test-trial-10,same,0.3999999999999999,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
10,22-test-trial-11,different,6.620000000000001,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
11,23-test-trial-12,different,5.52,carol_brenda.png,carol_carol.png,misaligned_inverted_same,False
12,24-test-trial-13,same,0.8000000000000003,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.9100000000000001,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
14,26-test-trial-15,same,1.21,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
15,27-test-trial-16,same,0.6000000000000001,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
16,28-test-trial-17,different,1.5,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
17,29-test-trial-18,different,0.5,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
18,30-test-trial-19,different,0.71,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,False
19,31-test-trial-20,same,0.7000000000000002,edita_debra.png,edita_edita.png,aligned_inverted_same,True
20,32-test-trial-21,different,2.0999999999999996,debra_debra.png,debra_edita.png,misaligned_inverted_same,False
21,33-test-trial-22,same,0.6999999999999997,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
22,34-test-trial-23,different,0.5,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,False
23,35-test-trial-24,same,0.8999999999999999,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
24,36-test-trial-25,different,0.5,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,False
25,37-test-trial-26,different,1.2100000000000004,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
26,38-test-trial-27,same,3.01,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
27,39-test-trial-28,different,1.9100000000000006,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
28,40-test-trial-29,different,0.9100000000000001,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,False
29,41-test-trial-30,different,3.4200000000000004,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,False
30,42-test-trial-31,different,1.9100000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,False
31,43-test-trial-32,same,1.4100000000000001,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
32,44-test-trial-33,different,0.6099999999999999,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
33,45-test-trial-34,different,1.1999999999999997,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,False
34,46-test-trial-35,different,0.6099999999999999,perla_perla.png,perla_viktoria.png,aligned_inverted_same,False
35,47-test-trial-36,different,0.8000000000000003,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
