,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.0999999999999996,justin_vasil.png,vasil_justin.png,aligned_inverted_different,False
1,13-test-trial-2,same,9.41,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
2,14-test-trial-3,same,2.0,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
3,15-test-trial-4,same,1.5,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
4,16-test-trial-5,same,0.8900000000000001,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
5,17-test-trial-6,same,2.0100000000000002,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
6,18-test-trial-7,same,4.199999999999999,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
7,19-test-trial-8,different,3.6100000000000003,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
8,20-test-trial-9,,,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,
9,20-test-trial-9-repeat-1,same,1.0,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
10,21-test-trial-10,same,1.0099999999999998,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
11,22-test-trial-11,different,1.79,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,False
12,23-test-trial-12,same,3.0999999999999996,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
13,24-test-trial-13,same,1.1099999999999999,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
14,25-test-trial-14,same,1.0,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
15,26-test-trial-15,different,2.8099999999999996,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
16,27-test-trial-16,different,3.9,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,False
17,28-test-trial-17,different,16.1,debra_debra.png,debra_edita.png,aligned_inverted_same,False
18,29-test-trial-18,same,3.5999999999999996,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
19,30-test-trial-19,different,2.3099999999999996,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
20,31-test-trial-20,same,1.2000000000000002,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
21,32-test-trial-21,different,2.29,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
22,33-test-trial-22,different,9.9,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
23,34-test-trial-23,same,2.49,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
24,35-test-trial-24,different,2.0,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
25,36-test-trial-25,different,2.51,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
26,37-test-trial-26,different,14.3,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
27,38-test-trial-27,,,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,
28,38-test-trial-27-repeat-1,same,7.300000000000001,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,False
29,39-test-trial-28,different,1.69,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
30,40-test-trial-29,same,3.5,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
31,41-test-trial-30,different,2.5900000000000003,milota_milota.png,milota_saskie.png,misaligned_inverted_same,False
32,42-test-trial-31,same,18.29,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
33,43-test-trial-32,different,11.3,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,False
34,44-test-trial-33,different,3.4999999999999996,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,False
35,45-test-trial-34,different,17.0,viola_peggy.png,viola_viola.png,aligned_inverted_same,False
36,46-test-trial-35,different,4.0,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
37,47-test-trial-36,same,3.79,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
