,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.5,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
1,13-test-trial-2,same,1.1999999999999997,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
2,14-test-trial-3,same,0.10000000000000009,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
3,15-test-trial-4,same,0.19999999999999973,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
4,16-test-trial-5,same,2.3999999999999995,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
5,17-test-trial-6,same,1.4999999999999996,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
6,18-test-trial-7,same,4.699999999999999,josef_maxim.png,maxim_josef.png,aligned_inverted_different,False
7,19-test-trial-8,same,0.2999999999999998,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
8,20-test-trial-9,different,0.6999999999999997,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
9,21-test-trial-10,different,0.3999999999999999,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
10,22-test-trial-11,same,1.7000000000000002,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
11,23-test-trial-12,same,0.09999999999999964,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
12,24-test-trial-13,same,5.199999999999999,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
13,25-test-trial-14,same,6.200000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
14,26-test-trial-15,same,1.9000000000000004,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
15,27-test-trial-16,same,0.2999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
16,28-test-trial-17,different,0.5,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
17,29-test-trial-18,same,0.19999999999999973,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
18,30-test-trial-19,different,2.0999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
19,31-test-trial-20,different,1.3999999999999995,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
20,32-test-trial-21,same,2.1000000000000005,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
21,33-test-trial-22,same,1.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
22,34-test-trial-23,same,6.7,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
23,35-test-trial-24,same,1.9,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
24,36-test-trial-25,same,3.5,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
25,37-test-trial-26,different,3.8000000000000003,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
26,38-test-trial-27,different,4.800000000000001,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
27,39-test-trial-28,different,1.7000000000000002,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
28,40-test-trial-29,different,0.8999999999999999,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
29,41-test-trial-30,same,2.7,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
30,42-test-trial-31,same,1.5,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
31,43-test-trial-32,same,2.4000000000000004,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.09999999999999964,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
33,45-test-trial-34,same,2.4,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
34,46-test-trial-35,different,0.6999999999999997,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
35,47-test-trial-36,same,7.5,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
