,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.3000000000000007,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
1,13-test-trial-2,different,1.2000000000000002,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
2,14-test-trial-3,same,1.6,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
3,15-test-trial-4,same,4.7,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,False
4,16-test-trial-5,same,1.1,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
5,17-test-trial-6,same,2.8999999999999995,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
6,18-test-trial-7,different,0.6000000000000001,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
7,19-test-trial-8,same,0.7999999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
8,20-test-trial-9,same,2.8000000000000003,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
9,21-test-trial-10,same,1.7999999999999998,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
10,22-test-trial-11,same,0.8000000000000007,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
11,23-test-trial-12,same,0.6999999999999997,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
12,24-test-trial-13,same,2.4000000000000004,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.19999999999999973,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
14,26-test-trial-15,same,1.9999999999999996,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
15,27-test-trial-16,different,0.8999999999999999,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
16,28-test-trial-17,same,1.6,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
17,29-test-trial-18,same,0.8999999999999999,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
18,30-test-trial-19,same,1.1,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
19,31-test-trial-20,same,0.20000000000000018,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
20,32-test-trial-21,different,2.3999999999999995,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
21,33-test-trial-22,same,1.9999999999999996,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
22,34-test-trial-23,different,0.3999999999999999,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
23,35-test-trial-24,different,1.4999999999999996,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
24,36-test-trial-25,different,1.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,False
25,37-test-trial-26,different,0.10000000000000009,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
26,38-test-trial-27,different,3.0999999999999996,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
27,39-test-trial-28,same,0.5,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
28,40-test-trial-29,different,0.5,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
29,41-test-trial-30,different,2.7,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
30,42-test-trial-31,same,0.7999999999999998,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
31,43-test-trial-32,different,1.4,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
32,44-test-trial-33,different,1.5999999999999996,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
33,45-test-trial-34,different,1.1,margita_margita.png,margita_vladena.png,misaligned_inverted_same,False
34,46-test-trial-35,same,5.8,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
35,47-test-trial-36,different,5.300000000000001,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,False
