,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,6.5,lea_lea.png,lea_stela.png,aligned_inverted_same,False
1,13-test-trial-2,same,15.399999999999999,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
2,14-test-trial-3,different,12.4,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
3,15-test-trial-4,same,17.900000000000002,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
4,16-test-trial-5,different,16.900000000000002,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,False
5,17-test-trial-6,same,7.299999999999999,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
6,18-test-trial-7,different,6.800000000000001,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
7,19-test-trial-8,same,9.6,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
8,20-test-trial-9,different,18.0,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,True
9,21-test-trial-10,same,25.9,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
10,22-test-trial-11,different,5.5,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
11,23-test-trial-12,same,7.300000000000001,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
12,24-test-trial-13,different,35.29,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,False
13,25-test-trial-14,same,22.8,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
14,26-test-trial-15,same,20.8,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
15,27-test-trial-16,different,14.600000000000001,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,False
16,28-test-trial-17,same,19.2,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
17,29-test-trial-18,different,11.9,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,False
18,30-test-trial-19,same,31.299999999999997,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
19,31-test-trial-20,same,27.5,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
20,32-test-trial-21,same,29.9,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
21,33-test-trial-22,different,19.700000000000003,edita_debra.png,debra_edita.png,aligned_inverted_different,True
22,34-test-trial-23,same,20.0,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
23,35-test-trial-24,different,10.2,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
24,36-test-trial-25,same,8.4,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
25,37-test-trial-26,same,13.299999999999999,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,False
26,38-test-trial-27,different,13.7,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
27,39-test-trial-28,different,12.1,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
28,40-test-trial-29,different,39.8,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,False
29,41-test-trial-30,same,9.299999999999999,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
30,42-test-trial-31,different,21.6,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,False
31,43-test-trial-32,different,18.400000000000002,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
32,44-test-trial-33,different,44.7,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,True
33,45-test-trial-34,different,14.0,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
34,46-test-trial-35,same,11.6,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
35,47-test-trial-36,same,20.2,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
