,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.42,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
1,13-test-trial-2,same,1.21,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
2,14-test-trial-3,different,2.1199999999999997,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
3,15-test-trial-4,same,3.4499999999999997,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
4,16-test-trial-5,same,1.21,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
5,17-test-trial-6,same,0.0,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
6,18-test-trial-7,different,0.20999999999999996,stela_lea.png,lea_stela.png,aligned_inverted_different,True
7,19-test-trial-8,same,0.9199999999999999,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
8,20-test-trial-9,different,0.6000000000000001,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,False
9,21-test-trial-10,same,2.9499999999999997,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
10,22-test-trial-11,different,0.6100000000000003,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
11,23-test-trial-12,different,6.08,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
12,24-test-trial-13,same,4.37,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
13,25-test-trial-14,different,1.9100000000000001,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
14,26-test-trial-15,same,1.4300000000000002,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
15,27-test-trial-16,same,1.9400000000000004,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
16,28-test-trial-17,same,4.45,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
17,29-test-trial-18,same,1.8400000000000003,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
18,30-test-trial-19,same,0.8199999999999998,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
19,31-test-trial-20,different,2.5400000000000005,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
20,32-test-trial-21,same,1.12,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
21,33-test-trial-22,same,3.28,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
22,34-test-trial-23,different,3.87,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
23,35-test-trial-24,same,2.32,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
24,36-test-trial-25,same,2.3499999999999996,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
25,37-test-trial-26,same,0.6200000000000001,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
26,38-test-trial-27,same,1.23,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
27,39-test-trial-28,same,0.9199999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
28,40-test-trial-29,same,0.0,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
29,41-test-trial-30,same,0.31000000000000005,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
30,42-test-trial-31,different,1.83,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,False
31,43-test-trial-32,same,4.6899999999999995,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.5100000000000002,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
33,45-test-trial-34,same,0.20000000000000018,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
34,46-test-trial-35,same,0.10000000000000009,debra_debra.png,debra_edita.png,aligned_inverted_same,True
35,47-test-trial-36,same,0.9199999999999999,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
