,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.3999999999999995,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,False
1,13-test-trial-2,different,1.4999999999999996,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
2,14-test-trial-3,same,13.4,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
3,15-test-trial-4,same,4.8,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
4,16-test-trial-5,same,6.800000000000001,stela_lea.png,stela_stela.png,aligned_inverted_same,True
5,17-test-trial-6,same,2.6999999999999997,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
6,18-test-trial-7,same,1.1999999999999997,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
7,19-test-trial-8,different,2.6999999999999997,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,False
8,20-test-trial-9,different,2.3000000000000003,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
9,21-test-trial-10,different,3.0999999999999996,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
10,22-test-trial-11,same,2.3999999999999995,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
11,23-test-trial-12,different,3.0999999999999996,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
12,24-test-trial-13,different,24.3,viola_peggy.png,viola_viola.png,aligned_inverted_same,False
13,25-test-trial-14,different,2.0999999999999996,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
14,26-test-trial-15,different,2.1,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,False
15,27-test-trial-16,different,1.2999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
16,28-test-trial-17,different,1.1999999999999997,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,False
17,29-test-trial-18,different,1.2999999999999998,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
18,30-test-trial-19,different,0.8999999999999999,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
19,31-test-trial-20,same,2.8000000000000003,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,False
20,32-test-trial-21,different,1.9000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
21,33-test-trial-22,same,1.1999999999999997,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
22,34-test-trial-23,different,3.0,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
23,35-test-trial-24,different,2.8000000000000003,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
24,36-test-trial-25,same,2.5999999999999996,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
25,37-test-trial-26,same,2.3000000000000003,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,False
26,38-test-trial-27,different,1.6,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
27,39-test-trial-28,different,3.9,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
28,40-test-trial-29,same,3.0999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
29,41-test-trial-30,same,2.7,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
30,42-test-trial-31,different,4.999999999999999,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
31,43-test-trial-32,different,2.3000000000000003,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,False
32,44-test-trial-33,different,3.5,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
33,45-test-trial-34,different,3.3000000000000003,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,False
34,46-test-trial-35,different,3.6,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
35,47-test-trial-36,different,1.3999999999999995,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
