,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,0.5499999999999998,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
1,13-test-trial-2,same,1.85,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
2,14-test-trial-3,different,1.8499999999999996,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
3,15-test-trial-4,different,1.9599999999999995,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
4,16-test-trial-5,same,1.9500000000000002,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
5,17-test-trial-6,same,2.4000000000000004,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
6,18-test-trial-7,same,0.8699999999999997,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
7,19-test-trial-8,different,1.7399999999999998,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
8,20-test-trial-9,same,2.9299999999999997,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
9,21-test-trial-10,same,2.83,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,False
10,22-test-trial-11,same,3.4800000000000004,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
11,23-test-trial-12,different,5.98,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
12,24-test-trial-13,different,3.0400000000000005,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,False
13,25-test-trial-14,same,7.0699999999999985,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
14,26-test-trial-15,same,0.7600000000000002,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
15,27-test-trial-16,same,0.4299999999999997,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
16,28-test-trial-17,same,0.20999999999999996,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
17,29-test-trial-18,same,0.31000000000000005,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
18,30-test-trial-19,same,0.10999999999999988,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
19,31-test-trial-20,different,1.7400000000000002,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
20,32-test-trial-21,different,0.3200000000000003,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
21,33-test-trial-22,different,0.7600000000000002,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
22,34-test-trial-23,same,0.7599999999999998,stela_lea.png,stela_stela.png,aligned_inverted_same,True
23,35-test-trial-24,same,0.2200000000000002,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
24,36-test-trial-25,same,4.14,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
25,37-test-trial-26,same,12.84,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
26,38-test-trial-27,same,6.530000000000001,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
27,39-test-trial-28,different,3.38,edita_debra.png,debra_edita.png,aligned_inverted_different,True
28,40-test-trial-29,same,1.42,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
29,41-test-trial-30,same,1.9599999999999995,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
30,42-test-trial-31,different,4.78,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
31,43-test-trial-32,same,13.809999999999999,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.6499999999999999,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
33,45-test-trial-34,different,3.05,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
34,46-test-trial-35,different,1.7400000000000002,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
35,47-test-trial-36,same,3.5899999999999994,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
