,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.4000000000000004,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
1,13-test-trial-2,same,8.200000000000001,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
2,14-test-trial-3,same,10.9,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
3,15-test-trial-4,same,9.899999999999999,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
4,16-test-trial-5,different,2.6999999999999997,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
5,17-test-trial-6,different,15.81,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
6,18-test-trial-7,same,2.2,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
7,19-test-trial-8,same,2.0,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
8,20-test-trial-9,same,2.0000000000000004,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
9,21-test-trial-10,different,0.30000000000000027,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
10,22-test-trial-11,same,6.210000000000001,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
11,23-test-trial-12,different,2.5,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
12,24-test-trial-13,same,6.6,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
13,25-test-trial-14,same,10.799999999999999,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
14,26-test-trial-15,same,3.7,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
15,27-test-trial-16,different,4.0,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
16,28-test-trial-17,same,1.3000000000000003,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
17,29-test-trial-18,same,2.4000000000000004,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
18,30-test-trial-19,same,4.1,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
19,31-test-trial-20,different,1.8000000000000003,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
20,32-test-trial-21,same,0.11000000000000032,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
21,33-test-trial-22,same,0.6000000000000001,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
22,34-test-trial-23,same,1.5000000000000004,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
23,35-test-trial-24,different,1.5999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
24,36-test-trial-25,different,11.700000000000001,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,True
25,37-test-trial-26,same,10.3,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
26,38-test-trial-27,same,5.0,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
27,39-test-trial-28,different,5.4,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
28,40-test-trial-29,same,9.1,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
29,41-test-trial-30,different,3.7,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
30,42-test-trial-31,same,4.800000000000001,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
31,43-test-trial-32,same,7.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
32,44-test-trial-33,same,3.0999999999999996,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
33,45-test-trial-34,same,2.5,stela_lea.png,stela_stela.png,aligned_inverted_same,True
34,46-test-trial-35,different,2.6,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
35,47-test-trial-36,different,9.1,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
