,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.0,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
1,13-test-trial-2,different,6.5,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,False
2,14-test-trial-3,different,3.3000000000000003,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
3,15-test-trial-4,same,2.0,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
4,16-test-trial-5,same,6.800000000000001,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
5,17-test-trial-6,different,5.6000000000000005,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
6,18-test-trial-7,same,7.199999999999999,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,False
7,19-test-trial-8,same,1.2999999999999998,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
8,20-test-trial-9,different,4.2,margita_margita.png,margita_vladena.png,aligned_inverted_same,False
9,21-test-trial-10,different,1.2999999999999998,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,False
10,22-test-trial-11,same,11.3,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
11,23-test-trial-12,different,15.200000000000001,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
12,24-test-trial-13,same,6.199999999999999,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
13,25-test-trial-14,different,3.7,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,False
14,26-test-trial-15,same,2.8,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
15,27-test-trial-16,different,1.5,debra_debra.png,debra_edita.png,misaligned_inverted_same,False
16,28-test-trial-17,same,1.5999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
17,29-test-trial-18,same,14.899999999999999,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
18,30-test-trial-19,different,13.1,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,False
19,31-test-trial-20,same,1.7999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
20,32-test-trial-21,same,8.8,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
21,33-test-trial-22,different,6.4,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
22,34-test-trial-23,different,1.9999999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,False
23,35-test-trial-24,different,1.6,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,False
24,36-test-trial-25,same,1.4999999999999996,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
25,37-test-trial-26,different,3.3000000000000003,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,False
26,38-test-trial-27,same,2.9,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,False
27,39-test-trial-28,different,2.4999999999999996,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
28,40-test-trial-29,same,2.3,edita_debra.png,edita_edita.png,aligned_inverted_same,True
29,41-test-trial-30,same,4.0,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
30,42-test-trial-31,different,2.999999999999999,stela_lea.png,stela_stela.png,aligned_inverted_same,False
31,43-test-trial-32,same,1.9,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,False
32,44-test-trial-33,different,1.2999999999999998,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
33,45-test-trial-34,different,4.699999999999999,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
34,46-test-trial-35,same,2.8,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
35,47-test-trial-36,same,2.5,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
