,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.3999999999999995,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
1,13-test-trial-2,same,1.0,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
2,14-test-trial-3,same,12.6,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
3,15-test-trial-4,different,4.3,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
4,16-test-trial-5,different,4.6,stela_lea.png,lea_stela.png,aligned_inverted_different,True
5,17-test-trial-6,same,2.5999999999999996,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
6,18-test-trial-7,same,4.800000000000001,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
7,19-test-trial-8,different,3.4000000000000004,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
8,20-test-trial-9,different,4.1,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
9,21-test-trial-10,different,1.1999999999999997,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
10,22-test-trial-11,same,2.2,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
11,23-test-trial-12,same,4.9,edita_debra.png,edita_edita.png,aligned_inverted_same,True
12,24-test-trial-13,different,1.5999999999999996,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
13,25-test-trial-14,same,5.9,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
14,26-test-trial-15,different,6.5,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
15,27-test-trial-16,different,8.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
16,28-test-trial-17,same,0.6000000000000001,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,False
17,29-test-trial-18,different,18.0,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
18,30-test-trial-19,same,9.2,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
19,31-test-trial-20,different,0.0,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,False
20,32-test-trial-21,different,9.3,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
21,33-test-trial-22,different,19.799999999999997,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
22,34-test-trial-23,same,6.199999999999999,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
23,35-test-trial-24,same,9.8,josef_maxim.png,maxim_josef.png,aligned_inverted_different,False
24,36-test-trial-25,different,6.1,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
25,37-test-trial-26,different,25.5,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
26,38-test-trial-27,same,14.700000000000001,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
27,39-test-trial-28,different,7.800000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
28,40-test-trial-29,same,5.3,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
29,41-test-trial-30,same,5.199999999999999,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
30,42-test-trial-31,same,10.3,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
31,43-test-trial-32,same,30.6,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
32,44-test-trial-33,different,5.5,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
33,45-test-trial-34,same,3.9099999999999997,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
34,46-test-trial-35,different,16.5,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,False
35,47-test-trial-36,different,14.700000000000001,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
