,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.700000000000001,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
1,13-test-trial-2,different,2.8,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
2,14-test-trial-3,different,3.6,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
3,15-test-trial-4,same,3.4000000000000004,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
4,16-test-trial-5,same,5.1,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
5,17-test-trial-6,same,4.9,debra_debra.png,debra_edita.png,aligned_inverted_same,True
6,18-test-trial-7,different,5.9,perla_perla.png,perla_viktoria.png,aligned_inverted_same,False
7,19-test-trial-8,different,8.9,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,False
8,20-test-trial-9,same,4.5,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
9,21-test-trial-10,different,6.300000000000001,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,False
10,22-test-trial-11,different,4.200000000000001,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
11,23-test-trial-12,same,8.5,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
12,24-test-trial-13,same,15.8,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
13,25-test-trial-14,different,14.899999999999999,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
14,26-test-trial-15,different,11.8,edita_debra.png,edita_edita.png,misaligned_inverted_same,False
15,27-test-trial-16,,,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,
16,27-test-trial-16-repeat-1,different,5.1,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
17,28-test-trial-17,different,6.1,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
18,29-test-trial-18,different,4.4,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
19,30-test-trial-19,same,2.2,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
20,31-test-trial-20,same,10.3,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
21,32-test-trial-21,same,17.6,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
22,33-test-trial-22,different,3.6,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
23,34-test-trial-23,same,3.5,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
24,35-test-trial-24,different,3.9,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
25,36-test-trial-25,same,10.6,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
26,37-test-trial-26,same,2.6,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
27,38-test-trial-27,same,1.8000000000000003,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
28,39-test-trial-28,same,1.4,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
29,40-test-trial-29,same,1.2999999999999998,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
30,41-test-trial-30,different,3.9000000000000004,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
31,42-test-trial-31,different,1.3000000000000007,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
32,43-test-trial-32,same,3.0999999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
33,44-test-trial-33,same,1.1,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
34,45-test-trial-34,same,2.3,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
35,46-test-trial-35,same,1.6,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
36,47-test-trial-36,different,1.4999999999999996,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
