,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.7,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
1,13-test-trial-2,different,9.4,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
2,14-test-trial-3,same,8.0,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
3,15-test-trial-4,same,5.8,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
4,16-test-trial-5,same,2.9999999999999996,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
5,17-test-trial-6,same,4.199999999999999,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
6,18-test-trial-7,different,5.5,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
7,19-test-trial-8,same,10.100000000000001,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
8,20-test-trial-9,different,3.8000000000000003,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
9,21-test-trial-10,different,3.4999999999999996,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
10,22-test-trial-11,different,2.8,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
11,23-test-trial-12,different,2.0999999999999996,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
12,24-test-trial-13,same,4.300000000000001,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
13,25-test-trial-14,different,4.6,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
14,26-test-trial-15,same,19.799999999999997,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
15,27-test-trial-16,same,2.4,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
16,28-test-trial-17,different,2.8000000000000003,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
17,29-test-trial-18,same,4.1,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
18,30-test-trial-19,same,1.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
19,31-test-trial-20,same,3.9,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
20,32-test-trial-21,same,1.9000000000000004,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
21,33-test-trial-22,same,4.699999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
22,34-test-trial-23,same,4.9,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
23,35-test-trial-24,same,6.3,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
24,36-test-trial-25,same,3.6,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
25,37-test-trial-26,same,1.7000000000000002,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
26,38-test-trial-27,same,0.5,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
27,39-test-trial-28,same,4.1,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
28,40-test-trial-29,different,3.7,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
29,41-test-trial-30,same,5.300000000000001,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
30,42-test-trial-31,different,0.2999999999999998,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
31,43-test-trial-32,same,1.3999999999999995,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
32,44-test-trial-33,same,4.1,edita_debra.png,edita_edita.png,aligned_inverted_same,True
33,45-test-trial-34,same,0.6999999999999997,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
34,46-test-trial-35,same,0.8999999999999999,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
35,47-test-trial-36,different,7.1,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
