,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.3999999999999995,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
1,13-test-trial-2,same,2.3999999999999995,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
2,14-test-trial-3,same,4.300000000000001,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
3,15-test-trial-4,different,3.6,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
4,16-test-trial-5,same,2.2,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
5,17-test-trial-6,same,1.0,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
6,18-test-trial-7,same,1.2999999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
7,19-test-trial-8,same,4.9,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
8,20-test-trial-9,same,2.4,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
9,21-test-trial-10,different,1.5,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
10,22-test-trial-11,same,3.2,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
11,23-test-trial-12,different,11.7,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
12,24-test-trial-13,same,2.3,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,False
13,25-test-trial-14,different,2.4999999999999996,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
14,26-test-trial-15,different,12.0,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
15,27-test-trial-16,same,4.1,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
16,28-test-trial-17,different,0.8999999999999999,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,False
17,29-test-trial-18,different,2.3999999999999995,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
18,30-test-trial-19,same,16.2,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
19,31-test-trial-20,different,4.3,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
20,32-test-trial-21,same,4.1000000000000005,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
21,33-test-trial-22,different,3.4999999999999996,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,False
22,34-test-trial-23,different,2.1,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
23,35-test-trial-24,different,1.4999999999999996,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,False
24,36-test-trial-25,different,2.2,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
25,37-test-trial-26,different,2.4,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
26,38-test-trial-27,different,5.1,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,False
27,39-test-trial-28,different,0.6999999999999997,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
28,40-test-trial-29,different,2.1,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
29,41-test-trial-30,different,1.0,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
30,42-test-trial-31,different,4.2,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
31,43-test-trial-32,different,0.0,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
32,44-test-trial-33,different,2.1999999999999997,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
33,45-test-trial-34,different,0.10000000000000009,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,False
34,46-test-trial-35,same,9.9,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
35,47-test-trial-36,same,6.700000000000001,edita_debra.png,debra_edita.png,misaligned_inverted_different,False
