,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,5.4,debra_debra.png,debra_edita.png,aligned_inverted_same,True
1,13-test-trial-2,same,2.5,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
2,14-test-trial-3,same,2.9999999999999996,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
3,15-test-trial-4,same,5.700000000000001,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
4,16-test-trial-5,same,2.4,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
5,17-test-trial-6,same,4.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
6,18-test-trial-7,different,4.699999999999999,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
7,19-test-trial-8,same,4.3,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
8,20-test-trial-9,same,2.0,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
9,21-test-trial-10,same,1.6999999999999997,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.2999999999999998,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
11,23-test-trial-12,same,2.8,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
12,24-test-trial-13,same,1.8000000000000003,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
13,25-test-trial-14,same,1.9,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
14,26-test-trial-15,same,1.9,justin_vasil.png,vasil_justin.png,aligned_inverted_different,False
15,27-test-trial-16,same,2.3000000000000003,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
16,28-test-trial-17,same,2.8000000000000003,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
17,29-test-trial-18,same,2.1999999999999997,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
18,30-test-trial-19,different,12.8,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
19,31-test-trial-20,same,1.8900000000000001,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
20,32-test-trial-21,different,6.1000000000000005,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
21,33-test-trial-22,different,7.300000000000001,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
22,34-test-trial-23,same,1.6,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
23,35-test-trial-24,same,1.7999999999999998,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
24,36-test-trial-25,different,2.5,stela_lea.png,lea_stela.png,aligned_inverted_different,True
25,37-test-trial-26,different,1.5999999999999996,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
26,38-test-trial-27,different,8.899999999999999,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
27,39-test-trial-28,different,1.9999999999999996,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
28,40-test-trial-29,different,1.9199999999999995,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
29,41-test-trial-30,same,2.5999999999999996,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
30,42-test-trial-31,same,1.0,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
31,43-test-trial-32,same,2.0,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
32,44-test-trial-33,same,1.4099999999999997,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
33,45-test-trial-34,same,4.8,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,False
34,46-test-trial-35,same,1.5999999999999996,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
35,47-test-trial-36,same,1.4999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
