,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.7,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
1,13-test-trial-2,same,2.9000000000000004,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
2,14-test-trial-3,same,5.4,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
3,15-test-trial-4,same,4.0,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
4,16-test-trial-5,different,2.9,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
5,17-test-trial-6,different,5.1,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
6,18-test-trial-7,same,9.2,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
7,19-test-trial-8,same,1.6,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
8,20-test-trial-9,same,1.2999999999999998,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
9,21-test-trial-10,same,0.7999999999999998,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
10,22-test-trial-11,different,1.4000000000000004,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
11,23-test-trial-12,same,4.199999999999999,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
12,24-test-trial-13,different,3.8999999999999995,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
13,25-test-trial-14,same,1.7999999999999998,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
14,26-test-trial-15,different,4.1000000000000005,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
15,27-test-trial-16,same,2.1,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
16,28-test-trial-17,same,5.0,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
17,29-test-trial-18,different,2.8,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
18,30-test-trial-19,same,7.8999999999999995,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
19,31-test-trial-20,same,1.4999999999999996,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
20,32-test-trial-21,same,1.7999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
21,33-test-trial-22,same,0.7999999999999998,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
22,34-test-trial-23,same,1.0,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
23,35-test-trial-24,same,0.6999999999999997,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
24,36-test-trial-25,same,1.0,stela_lea.png,stela_stela.png,aligned_inverted_same,True
25,37-test-trial-26,same,0.6999999999999997,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
26,38-test-trial-27,different,7.7,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
27,39-test-trial-28,same,1.4,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
28,40-test-trial-29,different,3.7,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,False
29,41-test-trial-30,same,0.3999999999999999,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
30,42-test-trial-31,different,2.5,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
31,43-test-trial-32,same,1.1,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
32,44-test-trial-33,different,2.8999999999999995,edita_debra.png,debra_edita.png,aligned_inverted_different,True
33,45-test-trial-34,different,4.4,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
34,46-test-trial-35,same,6.8999999999999995,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
35,47-test-trial-36,different,2.1999999999999997,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
