,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.8000000000000007,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
1,13-test-trial-2,same,7.0,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
2,14-test-trial-3,different,8.7,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
3,15-test-trial-4,different,5.5,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
4,16-test-trial-5,same,2.1,edita_debra.png,edita_edita.png,aligned_inverted_same,True
5,17-test-trial-6,different,9.5,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,False
6,18-test-trial-7,same,4.2,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
7,19-test-trial-8,same,3.3000000000000003,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
8,20-test-trial-9,different,4.2,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,False
9,21-test-trial-10,different,2.5,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
10,22-test-trial-11,same,3.3999999999999995,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
11,23-test-trial-12,different,1.4999999999999996,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
12,24-test-trial-13,same,11.7,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
13,25-test-trial-14,same,1.1,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
14,26-test-trial-15,same,8.6,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
15,27-test-trial-16,different,3.8,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
16,28-test-trial-17,different,6.300000000000001,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,False
17,29-test-trial-18,different,3.8,viola_peggy.png,viola_viola.png,misaligned_inverted_same,False
18,30-test-trial-19,different,10.3,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
19,31-test-trial-20,different,3.7,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
20,32-test-trial-21,same,4.999999999999999,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
21,33-test-trial-22,different,4.4,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
22,34-test-trial-23,different,2.5,margita_margita.png,margita_vladena.png,aligned_inverted_same,False
23,35-test-trial-24,different,0.8999999999999999,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
24,36-test-trial-25,same,3.6,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,False
25,37-test-trial-26,same,2.8000000000000003,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
26,38-test-trial-27,different,3.5,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,False
27,39-test-trial-28,different,1.7999999999999998,elena_eleanora.png,elena_elena.png,aligned_inverted_same,False
28,40-test-trial-29,different,3.6999999999999997,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
29,41-test-trial-30,different,2.4000000000000004,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
30,42-test-trial-31,different,1.0999999999999996,lea_lea.png,lea_stela.png,aligned_inverted_same,False
31,43-test-trial-32,different,9.1,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,False
32,44-test-trial-33,different,2.2,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,False
33,45-test-trial-34,different,9.3,debra_debra.png,debra_edita.png,misaligned_inverted_same,False
34,46-test-trial-35,different,5.700000000000001,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
35,47-test-trial-36,different,5.0,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,True
