,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.2,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
1,13-test-trial-2,same,3.8000000000000003,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
2,14-test-trial-3,same,3.1999999999999997,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
3,15-test-trial-4,different,4.8,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
4,16-test-trial-5,same,1.9000000000000004,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
5,17-test-trial-6,different,0.7000000000000002,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
6,18-test-trial-7,same,4.9,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
7,19-test-trial-8,different,0.3999999999999999,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
8,20-test-trial-9,same,1.2000000000000002,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
9,21-test-trial-10,same,17.6,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
10,22-test-trial-11,same,3.1000000000000005,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
11,23-test-trial-12,same,11.0,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
12,24-test-trial-13,same,6.1000000000000005,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
13,25-test-trial-14,different,11.4,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
14,26-test-trial-15,different,7.6,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
15,27-test-trial-16,same,16.9,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
16,28-test-trial-17,same,8.399999999999999,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,False
17,29-test-trial-18,different,6.4,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
18,30-test-trial-19,different,1.5,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
19,31-test-trial-20,different,13.0,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
20,32-test-trial-21,same,2.0,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
21,33-test-trial-22,same,5.0,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
22,34-test-trial-23,same,2.3,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
23,35-test-trial-24,same,3.9999999999999996,edita_debra.png,debra_edita.png,misaligned_inverted_different,False
24,36-test-trial-25,same,0.3999999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
25,37-test-trial-26,same,4.0,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
26,38-test-trial-27,same,0.7999999999999998,lea_lea.png,lea_stela.png,aligned_inverted_same,True
27,39-test-trial-28,same,1.7000000000000002,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
28,40-test-trial-29,same,1.9,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
29,41-test-trial-30,same,0.5,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
30,42-test-trial-31,different,4.4,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,False
31,43-test-trial-32,same,8.8,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
32,44-test-trial-33,same,3.8,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
33,45-test-trial-34,same,2.4000000000000004,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
34,46-test-trial-35,same,4.5,josef_maxim.png,maxim_josef.png,aligned_inverted_different,False
35,47-test-trial-36,same,1.5999999999999996,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
