,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.8000000000000007,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,False
1,13-test-trial-2,same,6.699999999999999,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,False
2,14-test-trial-3,different,3.69,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,False
3,15-test-trial-4,same,4.9,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
4,16-test-trial-5,different,6.300000000000001,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
5,17-test-trial-6,same,5.700000000000001,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
6,18-test-trial-7,different,11.5,edita_debra.png,edita_edita.png,aligned_inverted_same,False
7,19-test-trial-8,same,28.6,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
8,20-test-trial-9,same,6.1,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
9,21-test-trial-10,same,1.8000000000000003,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
10,22-test-trial-11,different,12.000000000000002,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,False
11,23-test-trial-12,same,10.700000000000001,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
12,24-test-trial-13,different,4.9,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,False
13,25-test-trial-14,same,1.9000000000000004,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
14,26-test-trial-15,same,20.5,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
15,27-test-trial-16,different,2.9,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
16,28-test-trial-17,same,2.5999999999999996,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
17,29-test-trial-18,different,5.0,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
18,30-test-trial-19,same,3.3000000000000003,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
19,31-test-trial-20,different,4.7,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,False
20,32-test-trial-21,different,3.0,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
21,33-test-trial-22,same,3.1100000000000003,stela_lea.png,stela_stela.png,aligned_inverted_same,True
22,34-test-trial-23,different,2.9000000000000004,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
23,35-test-trial-24,same,3.4999999999999996,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
24,36-test-trial-25,different,3.6999999999999997,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
25,37-test-trial-26,same,7.51,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,False
26,38-test-trial-27,same,5.5,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
27,39-test-trial-28,different,1.7000000000000002,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
28,40-test-trial-29,different,4.699999999999999,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
29,41-test-trial-30,same,3.9999999999999996,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
30,42-test-trial-31,different,1.8000000000000007,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
31,43-test-trial-32,same,2.0,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
32,44-test-trial-33,different,4.8,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
33,45-test-trial-34,different,1.0,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
34,46-test-trial-35,same,3.4999999999999996,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
35,47-test-trial-36,same,2.0,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
