,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.5,justin_vasil.png,justin_justin.png,aligned_inverted_same,False
1,13-test-trial-2,same,1.1999999999999997,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
2,14-test-trial-3,different,1.2999999999999998,milota_milota.png,milota_saskie.png,misaligned_inverted_same,False
3,15-test-trial-4,same,0.6000000000000001,carol_brenda.png,brenda_carol.png,aligned_inverted_different,False
4,16-test-trial-5,different,0.2999999999999998,viola_peggy.png,viola_viola.png,misaligned_inverted_same,False
5,17-test-trial-6,same,0.10000000000000009,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,False
6,18-test-trial-7,different,0.20000000000000018,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,False
7,19-test-trial-8,same,0.3999999999999999,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
8,20-test-trial-9,different,2.1,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
9,21-test-trial-10,same,0.7000000000000002,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
10,22-test-trial-11,different,5.2,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
11,23-test-trial-12,same,0.10000000000000009,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
12,24-test-trial-13,different,2.8,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
13,25-test-trial-14,same,1.1,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
14,26-test-trial-15,different,0.2999999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
15,27-test-trial-16,different,4.8,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
16,28-test-trial-17,same,2.3,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,False
17,29-test-trial-18,same,2.3,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
18,30-test-trial-19,different,4.3,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,False
19,31-test-trial-20,same,1.0,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
20,32-test-trial-21,different,2.0999999999999996,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
21,33-test-trial-22,same,0.2999999999999998,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
22,34-test-trial-23,different,0.10000000000000009,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,False
23,35-test-trial-24,same,0.5,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,False
24,36-test-trial-25,different,0.8999999999999999,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
25,37-test-trial-26,same,0.2999999999999998,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
26,38-test-trial-27,different,0.7000000000000002,stela_lea.png,stela_stela.png,aligned_inverted_same,False
27,39-test-trial-28,different,9.200000000000001,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,False
28,40-test-trial-29,same,5.199999999999999,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
29,41-test-trial-30,different,0.6000000000000001,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
30,42-test-trial-31,same,1.7000000000000002,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
31,43-test-trial-32,different,0.2999999999999998,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
32,44-test-trial-33,same,3.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
33,45-test-trial-34,different,1.4999999999999996,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
34,46-test-trial-35,different,0.0,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
35,47-test-trial-36,different,1.7000000000000002,edita_debra.png,debra_edita.png,aligned_inverted_different,True
