,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.0,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
1,13-test-trial-2,same,0.7000000000000002,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
2,14-test-trial-3,different,2.4999999999999996,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
3,15-test-trial-4,same,1.1999999999999997,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
4,16-test-trial-5,different,0.10000000000000009,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
5,17-test-trial-6,different,1.9,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,False
6,18-test-trial-7,different,0.20000000000000018,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
7,19-test-trial-8,different,0.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
8,20-test-trial-9,same,0.2999999999999998,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
9,21-test-trial-10,same,1.4,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
10,22-test-trial-11,different,14.700000000000001,linda_jindriska.png,linda_linda.png,aligned_inverted_same,False
11,23-test-trial-12,different,3.1,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
12,24-test-trial-13,same,0.10000000000000009,debra_debra.png,debra_edita.png,aligned_inverted_same,True
13,25-test-trial-14,different,0.2999999999999998,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
14,26-test-trial-15,different,10.5,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
15,27-test-trial-16,same,6.0,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
16,28-test-trial-17,same,2.7,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
17,29-test-trial-18,same,0.8999999999999999,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
18,30-test-trial-19,same,3.0,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
19,31-test-trial-20,same,1.0,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
20,32-test-trial-21,different,6.700000000000001,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,False
21,33-test-trial-22,same,1.9000000000000004,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
22,34-test-trial-23,different,0.8999999999999999,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
23,35-test-trial-24,different,3.8,margita_margita.png,margita_vladena.png,misaligned_inverted_same,False
24,36-test-trial-25,different,1.4,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
25,37-test-trial-26,different,1.7999999999999998,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
26,38-test-trial-27,same,1.8000000000000003,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
27,39-test-trial-28,different,0.7999999999999998,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
28,40-test-trial-29,same,3.1999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
29,41-test-trial-30,same,4.3,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
30,42-test-trial-31,different,23.21,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
31,43-test-trial-32,different,0.5,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
32,44-test-trial-33,different,0.3999999999999999,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
33,45-test-trial-34,different,0.20000000000000018,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
34,46-test-trial-35,same,2.3,lea_lea.png,lea_stela.png,aligned_inverted_same,True
35,47-test-trial-36,different,0.7999999999999998,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
