,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,5.3,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
1,13-test-trial-2,different,4.6,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
2,14-test-trial-3,different,3.4,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,False
3,15-test-trial-4,different,1.9,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
4,16-test-trial-5,same,4.4,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
5,17-test-trial-6,different,4.2,livia_livia.png,livia_miriama.png,misaligned_inverted_same,False
6,18-test-trial-7,different,16.299999999999997,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
7,19-test-trial-8,different,9.5,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,False
8,20-test-trial-9,different,5.1,linda_jindriska.png,linda_linda.png,aligned_inverted_same,False
9,21-test-trial-10,different,1.9999999999999996,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
10,22-test-trial-11,same,3.7,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
11,23-test-trial-12,same,3.1999999999999997,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
12,24-test-trial-13,different,1.9,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
13,25-test-trial-14,same,3.9,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
14,26-test-trial-15,different,2.7,milota_milota.png,milota_saskie.png,aligned_inverted_same,False
15,27-test-trial-16,different,2.3000000000000003,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
16,28-test-trial-17,different,4.0,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,False
17,29-test-trial-18,different,1.6,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
18,30-test-trial-19,different,3.5,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,False
19,31-test-trial-20,different,2.8,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
20,32-test-trial-21,different,4.3999999999999995,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
21,33-test-trial-22,same,2.8,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
22,34-test-trial-23,same,0.8999999999999999,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
23,35-test-trial-24,different,3.8000000000000003,josef_maxim.png,josef_josef.png,misaligned_inverted_same,False
24,36-test-trial-25,different,3.5,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
25,37-test-trial-26,same,2.0999999999999996,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
26,38-test-trial-27,different,12.7,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,False
27,39-test-trial-28,different,1.4999999999999996,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,False
28,40-test-trial-29,same,1.1,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
29,41-test-trial-30,same,1.9,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,False
30,42-test-trial-31,same,9.2,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
31,43-test-trial-32,different,1.5,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
32,44-test-trial-33,same,4.1,carol_brenda.png,brenda_carol.png,aligned_inverted_different,False
33,45-test-trial-34,different,2.6,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
34,46-test-trial-35,different,19.4,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,False
35,47-test-trial-36,different,0.20000000000000018,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
