,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.5999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
1,13-test-trial-2,different,3.3000000000000003,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
2,14-test-trial-3,same,1.1,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
3,15-test-trial-4,same,0.2999999999999998,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
4,16-test-trial-5,same,3.4000000000000004,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
5,17-test-trial-6,different,2.6199999999999997,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
6,18-test-trial-7,different,0.7000000000000002,edita_debra.png,edita_edita.png,misaligned_inverted_same,False
7,19-test-trial-8,different,1.1099999999999999,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
8,20-test-trial-9,same,3.7,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
9,21-test-trial-10,same,18.5,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
10,22-test-trial-11,different,0.2999999999999998,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
11,23-test-trial-12,same,0.7999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
12,24-test-trial-13,different,3.5,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
13,25-test-trial-14,same,4.1000000000000005,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
14,26-test-trial-15,different,21.0,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
15,27-test-trial-16,same,1.6,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
16,28-test-trial-17,different,1.2999999999999998,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
17,29-test-trial-18,same,2.1100000000000003,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
18,30-test-trial-19,same,6.3999999999999995,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
19,31-test-trial-20,different,3.71,elena_eleanora.png,elena_elena.png,aligned_inverted_same,False
20,32-test-trial-21,same,29.5,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
21,33-test-trial-22,different,1.7000000000000002,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
22,34-test-trial-23,same,1.0899999999999999,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
23,35-test-trial-24,same,0.5,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
24,36-test-trial-25,different,0.8000000000000003,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
25,37-test-trial-26,different,0.30000000000000027,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,False
26,38-test-trial-27,different,8.299999999999999,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,False
27,39-test-trial-28,different,2.9999999999999996,stela_lea.png,lea_stela.png,aligned_inverted_different,True
28,40-test-trial-29,different,2.3,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
29,41-test-trial-30,same,2.1,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
30,42-test-trial-31,different,0.40000000000000036,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
31,43-test-trial-32,same,1.0999999999999996,debra_debra.png,debra_edita.png,aligned_inverted_same,True
32,44-test-trial-33,same,1.1,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
33,45-test-trial-34,different,1.0899999999999999,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
34,46-test-trial-35,different,1.1,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
35,47-test-trial-36,same,1.0,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
