,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,118.7,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,False
1,13-test-trial-2,different,8.4,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,False
2,14-test-trial-3,same,5.6,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
3,15-test-trial-4,same,3.3000000000000003,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
4,16-test-trial-5,same,9.200000000000001,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
5,17-test-trial-6,same,17.1,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
6,18-test-trial-7,different,1.4999999999999996,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
7,19-test-trial-8,different,1.2999999999999998,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
8,20-test-trial-9,same,51.4,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
9,21-test-trial-10,same,3.9,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.7000000000000002,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
11,23-test-trial-12,different,8.0,edita_debra.png,debra_edita.png,aligned_inverted_different,True
12,24-test-trial-13,same,4.800000000000001,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
13,25-test-trial-14,same,5.6000000000000005,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
14,26-test-trial-15,same,5.1,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
15,27-test-trial-16,different,2.6,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
16,28-test-trial-17,different,4.5,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
17,29-test-trial-18,same,5.199999999999999,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
18,30-test-trial-19,same,8.6,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
19,31-test-trial-20,different,3.4,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
20,32-test-trial-21,same,4.2,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
21,33-test-trial-22,same,7.200000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
22,34-test-trial-23,different,2.0999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
23,35-test-trial-24,different,2.4,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
24,36-test-trial-25,same,13.799999999999999,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
25,37-test-trial-26,different,1.6,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
26,38-test-trial-27,same,3.3,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
27,39-test-trial-28,same,1.9,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
28,40-test-trial-29,same,1.8999999999999995,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
29,41-test-trial-30,same,2.3,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
30,42-test-trial-31,same,0.7000000000000002,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
31,43-test-trial-32,different,3.3000000000000003,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
32,44-test-trial-33,different,1.2999999999999998,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,True
33,45-test-trial-34,different,37.0,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,False
34,46-test-trial-35,different,2.9,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
35,47-test-trial-36,different,2.3,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
