,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.2000000000000002,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
1,13-test-trial-2,same,2.9,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,False
2,14-test-trial-3,same,2.9,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
3,15-test-trial-4,different,2.3000000000000003,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
4,16-test-trial-5,different,1.4,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
5,17-test-trial-6,different,2.5999999999999996,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
6,18-test-trial-7,different,1.4999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
7,19-test-trial-8,same,1.4,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
8,20-test-trial-9,same,0.8999999999999999,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
9,21-test-trial-10,different,1.6999999999999997,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
10,22-test-trial-11,different,1.2999999999999998,justin_vasil.png,justin_justin.png,aligned_inverted_same,False
11,23-test-trial-12,different,1.6999999999999997,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
12,24-test-trial-13,different,1.0999999999999996,lea_lea.png,lea_stela.png,aligned_inverted_same,False
13,25-test-trial-14,different,0.8999999999999999,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
14,26-test-trial-15,different,4.0,stela_lea.png,stela_stela.png,misaligned_inverted_same,False
15,27-test-trial-16,different,2.6,margita_margita.png,margita_vladena.png,misaligned_inverted_same,False
16,28-test-trial-17,different,1.2999999999999998,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
17,29-test-trial-18,different,1.2999999999999998,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
18,30-test-trial-19,same,3.8999999999999995,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
19,31-test-trial-20,same,2.9999999999999996,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
20,32-test-trial-21,same,4.7,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
21,33-test-trial-22,same,4.1,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
22,34-test-trial-23,different,5.4,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
23,35-test-trial-24,,,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,
24,35-test-trial-24-repeat-1,different,2.8,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
25,36-test-trial-25,different,1.7999999999999998,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
26,37-test-trial-26,different,1.4999999999999996,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
27,38-test-trial-27,different,1.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
28,39-test-trial-28,different,2.0,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,False
29,40-test-trial-29,same,1.8000000000000003,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
30,41-test-trial-30,different,2.3000000000000003,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,False
31,42-test-trial-31,same,1.8999999999999995,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
32,43-test-trial-32,different,5.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,False
33,44-test-trial-33,different,1.4999999999999996,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
34,45-test-trial-34,different,1.7999999999999998,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
35,46-test-trial-35,same,2.3999999999999995,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
36,47-test-trial-36,same,1.7999999999999998,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
