,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.2999999999999998,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,False
1,13-test-trial-2,same,2.9899999999999998,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
2,14-test-trial-3,different,5.3100000000000005,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,False
3,15-test-trial-4,same,5.6000000000000005,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
4,16-test-trial-5,same,3.0900000000000003,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
5,17-test-trial-6,same,4.199999999999999,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
6,18-test-trial-7,different,3.21,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
7,19-test-trial-8,same,3.59,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,False
8,20-test-trial-9,different,4.91,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
9,21-test-trial-10,same,4.49,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,False
10,22-test-trial-11,same,1.2999999999999998,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
11,23-test-trial-12,same,3.09,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
12,24-test-trial-13,same,1.0099999999999998,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.79,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,False
14,26-test-trial-15,same,1.4999999999999996,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
15,27-test-trial-16,same,0.3999999999999999,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,False
16,28-test-trial-17,same,0.3900000000000001,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
17,29-test-trial-18,same,0.10000000000000009,debra_debra.png,debra_edita.png,aligned_inverted_same,True
18,30-test-trial-19,same,0.7999999999999998,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
19,31-test-trial-20,different,0.8999999999999999,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
20,32-test-trial-21,same,7.000000000000001,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
21,33-test-trial-22,same,5.89,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
22,34-test-trial-23,same,4.09,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
23,35-test-trial-24,same,1.1099999999999999,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
24,36-test-trial-25,same,6.300000000000001,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
25,37-test-trial-26,same,0.19999999999999973,stela_lea.png,lea_stela.png,misaligned_inverted_different,False
26,38-test-trial-27,same,0.7999999999999998,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
27,39-test-trial-28,same,1.1999999999999997,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
28,40-test-trial-29,different,2.3000000000000003,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
29,41-test-trial-30,same,0.8999999999999999,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
30,42-test-trial-31,same,0.0,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
31,43-test-trial-32,same,2.3000000000000003,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
32,44-test-trial-33,same,0.5,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
33,45-test-trial-34,same,0.19999999999999973,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
34,46-test-trial-35,same,1.5,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
35,47-test-trial-36,different,2.5100000000000002,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
