,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.3,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
1,13-test-trial-2,same,1.8000000000000003,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
2,14-test-trial-3,different,2.3,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
3,15-test-trial-4,same,2.8000000000000003,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
4,16-test-trial-5,same,2.7,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
5,17-test-trial-6,same,1.2999999999999998,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
6,18-test-trial-7,same,1.2999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
7,19-test-trial-8,same,1.2999999999999998,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
8,20-test-trial-9,same,1.5,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
9,21-test-trial-10,different,2.8,stela_lea.png,lea_stela.png,aligned_inverted_different,True
10,22-test-trial-11,same,3.1000000000000005,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
11,23-test-trial-12,different,1.6,edita_debra.png,debra_edita.png,aligned_inverted_different,True
12,24-test-trial-13,different,1.1,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,False
13,25-test-trial-14,same,0.8999999999999999,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
14,26-test-trial-15,different,10.0,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
15,27-test-trial-16,different,4.8,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
16,28-test-trial-17,same,2.4,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
17,29-test-trial-18,same,3.4,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
18,30-test-trial-19,different,2.9999999999999996,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
19,31-test-trial-20,different,2.8999999999999995,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
20,32-test-trial-21,same,3.500000000000001,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
21,33-test-trial-22,same,7.8999999999999995,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
22,34-test-trial-23,same,2.8,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
23,35-test-trial-24,different,3.6999999999999997,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
24,36-test-trial-25,same,5.8999999999999995,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
25,37-test-trial-26,same,0.5,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
26,38-test-trial-27,same,0.19999999999999973,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
27,39-test-trial-28,same,0.19999999999999973,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
28,40-test-trial-29,different,0.6999999999999997,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
29,41-test-trial-30,same,1.2999999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
30,42-test-trial-31,different,1.2999999999999998,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
31,43-test-trial-32,same,0.8999999999999999,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
32,44-test-trial-33,same,0.3999999999999999,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
33,45-test-trial-34,different,3.4,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
34,46-test-trial-35,same,4.4,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
35,47-test-trial-36,different,3.1999999999999997,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
