,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.7,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
1,13-test-trial-2,different,4.5,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,False
2,14-test-trial-3,different,5.9,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
3,15-test-trial-4,same,4.2,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
4,16-test-trial-5,different,4.9,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
5,17-test-trial-6,different,3.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,False
6,18-test-trial-7,different,2.6999999999999997,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,False
7,19-test-trial-8,different,2.0,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
8,20-test-trial-9,same,5.7,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
9,21-test-trial-10,different,3.6999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,False
10,22-test-trial-11,same,3.000000000000001,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
11,23-test-trial-12,different,4.3,milota_milota.png,milota_saskie.png,aligned_inverted_same,False
12,24-test-trial-13,different,4.6,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,False
13,25-test-trial-14,different,12.1,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,False
14,26-test-trial-15,same,7.200000000000001,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
15,27-test-trial-16,different,5.199999999999999,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
16,28-test-trial-17,same,2.1999999999999997,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
17,29-test-trial-18,same,12.600000000000001,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
18,30-test-trial-19,different,3.1999999999999997,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
19,31-test-trial-20,different,7.0,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,False
20,32-test-trial-21,same,13.099999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
21,33-test-trial-22,different,4.9,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
22,34-test-trial-23,different,3.9,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
23,35-test-trial-24,same,3.0999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
24,36-test-trial-25,same,4.4,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
25,37-test-trial-26,same,16.1,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
26,38-test-trial-27,different,2.3999999999999995,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
27,39-test-trial-28,different,15.799999999999999,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
28,40-test-trial-29,different,12.4,edita_debra.png,debra_edita.png,aligned_inverted_different,True
29,41-test-trial-30,different,11.700000000000001,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,True
30,42-test-trial-31,different,3.8,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
31,43-test-trial-32,different,4.4,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
32,44-test-trial-33,different,2.0999999999999996,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
33,45-test-trial-34,different,1.8000000000000003,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,False
34,46-test-trial-35,same,9.200000000000001,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
35,47-test-trial-36,different,1.6,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
