,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.2999999999999998,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,False
1,13-test-trial-2,same,0.7999999999999998,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
2,14-test-trial-3,same,2.1000000000000005,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
3,15-test-trial-4,same,1.7000000000000002,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
4,16-test-trial-5,same,1.0999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
5,17-test-trial-6,same,1.2999999999999998,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
6,18-test-trial-7,same,0.6999999999999997,stela_lea.png,stela_stela.png,aligned_inverted_same,True
7,19-test-trial-8,same,2.0,josef_maxim.png,maxim_josef.png,aligned_inverted_different,False
8,20-test-trial-9,same,1.3999999999999995,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
9,21-test-trial-10,same,0.5,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
10,22-test-trial-11,same,1.1000000000000005,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
11,23-test-trial-12,same,1.7000000000000002,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
12,24-test-trial-13,same,0.6000000000000001,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
13,25-test-trial-14,same,1.5,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
14,26-test-trial-15,same,0.7999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
15,27-test-trial-16,same,1.0900000000000003,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
16,28-test-trial-17,same,0.5,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
17,29-test-trial-18,same,1.1,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
18,30-test-trial-19,same,0.3999999999999999,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
19,31-test-trial-20,same,0.6999999999999997,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,False
20,32-test-trial-21,same,5.3,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
21,33-test-trial-22,,,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,
22,33-test-trial-22-repeat-1,same,1.1999999999999997,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
23,34-test-trial-23,,,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,
24,34-test-trial-23-repeat-1,same,0.19999999999999973,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
25,35-test-trial-24,same,0.79,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
26,36-test-trial-25,same,4.6000000000000005,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
27,37-test-trial-26,same,0.19999999999999973,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
28,38-test-trial-27,different,3.7,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,False
29,39-test-trial-28,,,edita_debra.png,debra_edita.png,misaligned_inverted_different,
30,39-test-trial-28-repeat-1,same,0.6000000000000001,edita_debra.png,debra_edita.png,misaligned_inverted_different,False
31,40-test-trial-29,different,0.81,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
32,41-test-trial-30,different,2.6,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
33,42-test-trial-31,same,3.6000000000000005,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
34,43-test-trial-32,different,2.3,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
35,44-test-trial-33,same,0.7999999999999998,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
36,45-test-trial-34,same,1.1999999999999997,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
37,46-test-trial-35,different,2.79,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
38,47-test-trial-36,same,1.5,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
