,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.7000000000000002,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
1,13-test-trial-2,same,0.9000000000000004,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
2,14-test-trial-3,different,1.7599999999999998,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
3,15-test-trial-4,different,1.0,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
4,16-test-trial-5,same,4.7,stela_lea.png,stela_stela.png,aligned_inverted_same,True
5,17-test-trial-6,same,1.0,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
6,18-test-trial-7,different,2.4999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
7,19-test-trial-8,same,1.2999999999999998,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
8,20-test-trial-9,same,1.1999999999999997,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
9,21-test-trial-10,same,0.19999999999999973,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
10,22-test-trial-11,same,2.3,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
11,23-test-trial-12,same,1.0,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
12,24-test-trial-13,same,1.7999999999999998,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.7999999999999998,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
14,26-test-trial-15,same,0.2999999999999998,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
15,27-test-trial-16,same,0.20000000000000018,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
16,28-test-trial-17,different,2.8,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
17,29-test-trial-18,same,1.6,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
18,30-test-trial-19,same,3.3999999999999995,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
19,31-test-trial-20,same,0.5,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
20,32-test-trial-21,same,0.1200000000000001,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,False
21,33-test-trial-22,same,1.3999999999999995,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
22,34-test-trial-23,different,1.8000000000000003,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
23,35-test-trial-24,different,1.6,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
24,36-test-trial-25,same,1.3900000000000001,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
25,37-test-trial-26,same,1.3999999999999995,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
26,38-test-trial-27,different,9.7,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
27,39-test-trial-28,same,1.8000000000000003,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
28,40-test-trial-29,different,6.1000000000000005,edita_debra.png,debra_edita.png,aligned_inverted_different,True
29,41-test-trial-30,same,3.7,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
30,42-test-trial-31,different,0.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
31,43-test-trial-32,same,4.1,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.6999999999999997,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
33,45-test-trial-34,same,0.5,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
34,46-test-trial-35,same,0.19999999999999973,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
35,47-test-trial-36,different,1.7000000000000002,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
