,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.3,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
1,13-test-trial-2,different,1.0,carol_brenda.png,carol_carol.png,misaligned_inverted_same,False
2,14-test-trial-3,different,2.0,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
3,15-test-trial-4,different,2.7,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,False
4,16-test-trial-5,different,1.0,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
5,17-test-trial-6,different,1.2999999999999998,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
6,18-test-trial-7,different,1.2999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,False
7,19-test-trial-8,different,1.1999999999999997,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
8,20-test-trial-9,different,5.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
9,21-test-trial-10,different,1.2999999999999998,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
10,22-test-trial-11,different,1.4000000000000004,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
11,23-test-trial-12,different,1.3999999999999995,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,False
12,24-test-trial-13,different,14.5,milota_milota.png,milota_saskie.png,misaligned_inverted_same,False
13,25-test-trial-14,different,1.0999999999999996,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,False
14,26-test-trial-15,different,1.0999999999999996,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
15,27-test-trial-16,different,1.2999999999999998,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,False
16,28-test-trial-17,different,1.2999999999999998,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,False
17,29-test-trial-18,different,3.3,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
18,30-test-trial-19,different,15.7,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,False
19,31-test-trial-20,different,11.600000000000001,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,False
20,32-test-trial-21,different,1.1000000000000005,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
21,33-test-trial-22,different,1.3999999999999995,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,False
22,34-test-trial-23,different,2.8,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
23,35-test-trial-24,different,0.8999999999999999,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
24,36-test-trial-25,different,3.1,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
25,37-test-trial-26,different,1.5999999999999996,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
26,38-test-trial-27,different,1.3999999999999995,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
27,39-test-trial-28,different,1.0,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
28,40-test-trial-29,different,2.0,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
29,41-test-trial-30,different,1.0,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
30,42-test-trial-31,same,1.9000000000000004,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
31,43-test-trial-32,same,1.6,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
32,44-test-trial-33,same,9.8,stela_lea.png,stela_stela.png,aligned_inverted_same,True
33,45-test-trial-34,different,1.9,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,False
34,46-test-trial-35,different,4.6,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
35,47-test-trial-36,same,1.6000000000000005,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
