,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,21.590000000000003,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
1,13-test-trial-2,different,3.7,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,False
2,14-test-trial-3,same,18.8,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
3,15-test-trial-4,different,18.49,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
4,16-test-trial-5,,,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,
5,16-test-trial-5-repeat-1,same,17.0,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
6,17-test-trial-6,different,5.0,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
7,18-test-trial-7,same,3.4000000000000004,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
8,19-test-trial-8,same,4.300000000000001,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
9,20-test-trial-9,different,5.09,carol_brenda.png,carol_carol.png,misaligned_inverted_same,False
10,21-test-trial-10,same,5.3,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
11,22-test-trial-11,same,5.200000000000001,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
12,23-test-trial-12,same,10.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
13,24-test-trial-13,same,1.9,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,False
14,25-test-trial-14,same,1.5,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
15,26-test-trial-15,same,21.9,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
16,27-test-trial-16,different,2.8,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
17,28-test-trial-17,same,28.29,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
18,29-test-trial-18,same,3.7,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
19,30-test-trial-19,same,2.8,lea_lea.png,lea_stela.png,aligned_inverted_same,True
20,31-test-trial-20,different,4.4,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
21,32-test-trial-21,same,2.6000000000000005,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
22,33-test-trial-22,same,2.1,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
23,34-test-trial-23,different,5.789999999999999,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
24,35-test-trial-24,different,2.2,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
25,36-test-trial-25,same,3.9,debra_debra.png,debra_edita.png,aligned_inverted_same,True
26,37-test-trial-26,,,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,
27,37-test-trial-26-repeat-1,different,11.700000000000001,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
28,38-test-trial-27,different,8.1,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
29,39-test-trial-28,same,4.3,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
30,40-test-trial-29,different,3.3,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
31,41-test-trial-30,same,3.0999999999999996,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
32,42-test-trial-31,same,2.7,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
33,43-test-trial-32,different,4.890000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
34,44-test-trial-33,same,2.9,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
35,45-test-trial-34,different,5.3,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
36,46-test-trial-35,same,4.6,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
37,47-test-trial-36,different,5.6,edita_debra.png,edita_edita.png,misaligned_inverted_same,False
