,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.249999999999999,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
1,13-test-trial-2,different,10.55,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
2,14-test-trial-3,different,1.7399999999999998,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
3,15-test-trial-4,same,15.83,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
4,16-test-trial-5,different,4.58,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
5,17-test-trial-6,different,3.15,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
6,18-test-trial-7,different,3.6899999999999995,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
7,19-test-trial-8,same,11.42,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
8,20-test-trial-9,same,1.8400000000000003,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
9,21-test-trial-10,different,4.35,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
10,22-test-trial-11,different,18.36,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,False
11,23-test-trial-12,different,2.07,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
12,24-test-trial-13,same,5.199999999999999,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
13,25-test-trial-14,different,9.78,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
14,26-test-trial-15,same,10.66,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
15,27-test-trial-16,same,4.220000000000001,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
16,28-test-trial-17,same,5.67,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
17,29-test-trial-18,same,0.5500000000000003,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
18,30-test-trial-19,same,2.7300000000000004,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
19,31-test-trial-20,same,2.1700000000000004,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
20,32-test-trial-21,same,3.0500000000000007,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
21,33-test-trial-22,same,1.2000000000000002,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
22,34-test-trial-23,same,1.85,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
23,35-test-trial-24,same,5.749999999999999,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
24,36-test-trial-25,same,5.630000000000001,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
25,37-test-trial-26,different,1.52,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,True
26,38-test-trial-27,same,0.6499999999999999,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
27,39-test-trial-28,same,1.8499999999999996,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
28,40-test-trial-29,different,2.2800000000000002,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
29,41-test-trial-30,same,7.83,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
30,42-test-trial-31,same,2.3899999999999997,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
31,43-test-trial-32,different,3.8100000000000005,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
32,44-test-trial-33,different,8.28,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
33,45-test-trial-34,same,6.640000000000001,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
34,46-test-trial-35,different,2.93,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
35,47-test-trial-36,same,16.200000000000003,stela_lea.png,stela_stela.png,aligned_inverted_same,True
