,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.12,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,False
1,13-test-trial-2,different,1.0099999999999998,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
2,14-test-trial-3,different,2.04,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,False
3,15-test-trial-4,same,1.81,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,False
4,16-test-trial-5,same,3.73,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
5,17-test-trial-6,different,3.4299999999999997,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
6,18-test-trial-7,different,5.279999999999999,perla_perla.png,perla_viktoria.png,aligned_inverted_same,False
7,19-test-trial-8,different,2.3200000000000003,edita_debra.png,edita_edita.png,aligned_inverted_same,False
8,20-test-trial-9,same,1.7099999999999995,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
9,21-test-trial-10,same,3.5799999999999996,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,False
10,22-test-trial-11,same,0.7200000000000006,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
11,23-test-trial-12,same,2.14,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
12,24-test-trial-13,different,1.4100000000000001,stela_lea.png,lea_stela.png,aligned_inverted_different,True
13,25-test-trial-14,same,3.1400000000000006,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
14,26-test-trial-15,different,2.0100000000000002,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,False
15,27-test-trial-16,different,35.2,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
16,28-test-trial-17,different,0.81,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
17,29-test-trial-18,same,1.1,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
18,30-test-trial-19,same,4.829999999999999,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
19,31-test-trial-20,different,2.45,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
20,32-test-trial-21,same,1.62,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
21,33-test-trial-22,different,6.84,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
22,34-test-trial-23,same,3.26,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
23,35-test-trial-24,same,2.3600000000000003,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,False
24,36-test-trial-25,different,10.93,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
25,37-test-trial-26,same,2.56,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
26,38-test-trial-27,different,5.0600000000000005,carol_brenda.png,carol_carol.png,misaligned_inverted_same,False
27,39-test-trial-28,different,9.01,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
28,40-test-trial-29,same,7.299999999999999,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
29,41-test-trial-30,different,20.5,margita_margita.png,margita_vladena.png,aligned_inverted_same,False
30,42-test-trial-31,same,9.669999999999998,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
31,43-test-trial-32,same,4.48,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
32,44-test-trial-33,different,3.6399999999999997,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
33,45-test-trial-34,same,9.870000000000001,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
34,46-test-trial-35,same,1.13,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
35,47-test-trial-36,same,1.6800000000000002,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
