,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.3,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
1,13-test-trial-2,different,1.9,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
2,14-test-trial-3,same,6.6,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
3,15-test-trial-4,different,3.5,vladena_margita.png,margita_vladena.png,aligned_inverted_different,True
4,16-test-trial-5,different,2.7,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
5,17-test-trial-6,different,6.7,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
6,18-test-trial-7,same,3.8999999999999995,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
7,19-test-trial-8,different,2.4,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
8,20-test-trial-9,different,1.7999999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
9,21-test-trial-10,different,4.1,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,False
10,22-test-trial-11,same,7.3999999999999995,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
11,23-test-trial-12,same,1.1999999999999997,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
12,24-test-trial-13,same,3.0,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
13,25-test-trial-14,different,1.2999999999999998,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
14,26-test-trial-15,same,4.5,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
15,27-test-trial-16,different,14.7,edita_debra.png,debra_edita.png,aligned_inverted_different,True
16,28-test-trial-17,different,1.0,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
17,29-test-trial-18,same,2.4,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
18,30-test-trial-19,same,1.5,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
19,31-test-trial-20,different,2.3,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,False
20,32-test-trial-21,different,8.600000000000001,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,False
21,33-test-trial-22,same,8.8,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
22,34-test-trial-23,different,6.1000000000000005,linda_jindriska.png,linda_linda.png,aligned_inverted_same,False
23,35-test-trial-24,same,2.1,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
24,36-test-trial-25,different,3.5999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,False
25,37-test-trial-26,same,6.4,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
26,38-test-trial-27,different,6.0,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,False
27,39-test-trial-28,same,2.1,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
28,40-test-trial-29,same,2.3000000000000003,stela_lea.png,stela_stela.png,aligned_inverted_same,True
29,41-test-trial-30,different,3.9,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,False
30,42-test-trial-31,different,2.8999999999999995,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
31,43-test-trial-32,same,2.9999999999999996,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
32,44-test-trial-33,different,3.1999999999999997,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
33,45-test-trial-34,different,10.100000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
34,46-test-trial-35,different,6.1,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
35,47-test-trial-36,different,7.2,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
