,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.7999999999999998,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
1,13-test-trial-2,same,3.4000000000000004,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
2,14-test-trial-3,same,1.9999999999999996,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
3,15-test-trial-4,same,1.6,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
4,16-test-trial-5,same,2.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
5,17-test-trial-6,different,2.5999999999999996,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
6,18-test-trial-7,same,2.8,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
7,19-test-trial-8,same,2.6999999999999997,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
8,20-test-trial-9,same,1.9000000000000004,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
9,21-test-trial-10,same,1.4,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
10,22-test-trial-11,same,2.3999999999999995,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
11,23-test-trial-12,same,1.5999999999999996,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
12,24-test-trial-13,same,1.1,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
13,25-test-trial-14,same,3.4,edita_debra.png,debra_edita.png,misaligned_inverted_different,False
14,26-test-trial-15,same,3.0999999999999996,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
15,27-test-trial-16,same,3.0,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
16,28-test-trial-17,same,1.0,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
17,29-test-trial-18,same,1.6999999999999997,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
18,30-test-trial-19,different,2.7,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
19,31-test-trial-20,different,2.01,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
20,32-test-trial-21,different,1.3999999999999995,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,False
21,33-test-trial-22,different,1.5,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
22,34-test-trial-23,different,2.0,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
23,35-test-trial-24,same,1.9000000000000004,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
24,36-test-trial-25,same,2.0,stela_lea.png,lea_stela.png,aligned_inverted_different,False
25,37-test-trial-26,different,2.4000000000000004,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
26,38-test-trial-27,same,2.6,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
27,39-test-trial-28,same,1.7000000000000002,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
28,40-test-trial-29,same,5.9,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
29,41-test-trial-30,different,6.300000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
30,42-test-trial-31,different,9.3,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
31,43-test-trial-32,same,3.9999999999999996,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
32,44-test-trial-33,different,2.1999999999999997,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
33,45-test-trial-34,same,3.3000000000000003,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
34,46-test-trial-35,different,2.4999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,False
35,47-test-trial-36,same,2.8000000000000003,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
