,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.8000000000000007,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
1,13-test-trial-2,same,2.9000000000000004,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
2,14-test-trial-3,same,2.0,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
3,15-test-trial-4,same,2.3,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
4,16-test-trial-5,same,1.0,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
5,17-test-trial-6,different,2.0999999999999996,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
6,18-test-trial-7,same,0.6000000000000001,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
7,19-test-trial-8,different,1.5999999999999996,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
8,20-test-trial-9,same,0.8999999999999999,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
9,21-test-trial-10,same,0.10000000000000009,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
10,22-test-trial-11,different,4.300000000000001,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
11,23-test-trial-12,same,2.0,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
12,24-test-trial-13,different,1.9000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
13,25-test-trial-14,same,2.0,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
14,26-test-trial-15,same,2.6999999999999997,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
15,27-test-trial-16,same,1.7000000000000002,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
16,28-test-trial-17,same,0.2999999999999998,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
17,29-test-trial-18,same,0.8999999999999999,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
18,30-test-trial-19,different,2.0,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
19,31-test-trial-20,same,0.20000000000000018,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
20,32-test-trial-21,different,2.7,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
21,33-test-trial-22,different,2.2,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
22,34-test-trial-23,different,0.7000000000000002,lea_lea.png,lea_stela.png,aligned_inverted_same,False
23,35-test-trial-24,different,4.4,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
24,36-test-trial-25,different,3.1999999999999997,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
25,37-test-trial-26,same,0.7000000000000002,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
26,38-test-trial-27,different,1.4,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
27,39-test-trial-28,same,3.5999999999999996,edita_debra.png,edita_edita.png,aligned_inverted_same,True
28,40-test-trial-29,same,1.9000000000000004,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,False
29,41-test-trial-30,same,3.9000000000000004,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
30,42-test-trial-31,same,0.9000000000000004,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
31,43-test-trial-32,different,3.3,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
32,44-test-trial-33,same,1.9000000000000004,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
33,45-test-trial-34,same,0.7000000000000002,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
34,46-test-trial-35,different,2.0,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
35,47-test-trial-36,same,2.0999999999999996,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
